round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,7,0,7,0,0,7,132149,3.171365737915039,3.493926668167114,0,
2,7,1,6,0,0,6,114427,3.881193518638611,4.243013143539429,0,
3,7,0,7,0,0,7,134169,3.704902172088623,3.860537815093994,0,
4,7,0,7,0,0,7,134184,3.273068428039551,3.3190599918365478,0,
5,7,0,7,0,2,7,134499,2.542302131652832,2.6502472400665282,0,
6,7,2,5,0,1,5,96090,2.073465585708618,2.3177896976470946,0,
7,7,1,6,1,1,5,96205,1.0491946339607239,1.4762811660766602,0,
8,7,1,6,0,2,6,115422,1.2697309255599976,1.927888810634613,0,
9,7,1,6,0,2,6,115377,1.2547409534454346,2.0819168090820312,0,
10,7,0,7,1,0,6,115387,1.242892861366272,1.921051263809204,0,
11,7,0,7,2,0,5,96150,1.0876644849777222,1.9396067619323731,0,
12,7,1,6,1,0,5,96160,0.9000349938869476,1.501188039779663,0,
13,7,0,7,1,0,6,115362,1.126157522201538,1.5381876707077027,0,
14,7,1,6,0,0,6,115362,1.2558271884918213,1.3726806640625,0,
15,7,1,6,0,0,6,115342,0.9733337163925171,1.0348743200302124,0,
16,7,1,6,0,0,6,115382,0.9238673150539398,1.3029592633247375,0,
17,7,1,6,0,0,6,115412,0.8392971754074097,0.9837121069431305,0,
18,7,0,7,0,0,7,134594,0.876441240310669,0.9995208621025086,0,
19,7,0,7,0,0,7,134564,0.8639397025108337,0.9528749227523804,0,
20,7,0,7,0,0,7,134549,0.8887893557548523,1.0481936454772949,0,
21,7,1,6,0,0,6,115277,0.9000610113143921,1.143130898475647,0,
22,7,1,6,0,0,6,115342,0.701095461845398,0.8832044899463654,0,
23,7,2,5,0,0,5,96080,0.7559112906455994,0.9174384117126465,0,
24,7,1,6,0,0,6,115347,0.8347652554512024,0.9328890442848206,1,0.9553469347305382
25,7,1,6,0,0,6,115212,0.7165087759494781,1.1757768988609314,0,
26,7,0,7,0,1,7,134489,0.8079048991203308,1.0768393635749818,0,
27,7,1,6,0,0,6,115302,0.8171791732311249,1.1297898292541504,0,
