round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,3,1,2,0,0,2,35685,7.369969129562378,8.034733724594116,0,
2,3,0,3,0,0,3,53895,5.575464248657227,5.654391479492188,0,
3,3,0,3,0,0,3,54485,4.201420307159424,4.262530994415283,0,
4,3,0,3,0,1,3,53800,4.1961774826049805,4.235161781311035,0,
5,3,0,3,0,1,3,54250,3.2443430423736572,3.6765932559967043,0,
6,3,0,3,0,1,3,54485,2.598233699798584,3.8121317863464355,0,
7,3,0,3,0,0,3,54490,2.5745296478271484,3.5743770599365234,0,
8,3,0,3,0,0,3,54495,2.973858594894409,3.124413824081421,0,
9,3,1,2,0,0,2,36335,4.1236231327056885,4.298525667190551,0,
10,3,0,3,0,0,3,54500,2.7513229846954346,3.5015528202056885,0,
11,3,0,3,0,1,3,54495,2.144530773162842,2.7723381996154783,0,
12,3,1,2,0,0,2,36330,2.1047467589378357,2.3063716769218443,0,
13,3,0,3,0,1,3,54495,1.8242583274841309,2.056697940826416,0,
14,3,0,3,0,0,3,54495,1.6929606199264526,1.7395618200302123,0,
15,3,1,2,0,0,2,36325,1.6780604124069214,1.8477643728256226,0,
16,3,1,2,0,0,2,36320,1.1909130811691284,1.233596110343933,0,
17,3,1,2,0,0,2,36335,1.6581339836120605,1.9652438163757324,0,
18,3,1,2,0,0,2,36330,1.3506296873092651,1.3902134656906129,0,
19,3,0,3,0,0,3,54500,1.3323602676391602,1.4967089653015138,0,
20,3,0,3,0,2,3,54510,1.2659518718719482,1.278813886642456,0,
21,3,0,3,0,0,3,54500,1.4194523096084595,1.6287653207778932,0,
22,3,1,2,0,0,2,36335,1.2512735724449158,1.2615635752677918,0,
23,3,0,3,0,2,3,54505,1.2650645971298218,1.5633573293685914,0,
24,3,0,3,0,0,3,54490,1.3201121091842651,1.383877444267273,0,
25,3,0,3,0,0,3,54485,1.3289986848831177,1.6571473360061646,0,
26,3,1,2,0,0,2,36325,1.4755772352218628,1.6437472105026245,0,
27,3,0,3,0,2,3,54485,1.3281679153442383,1.4779666900634765,0,
28,3,0,3,0,1,3,54495,1.1870275735855103,1.665779137611389,0,
29,3,0,3,0,1,3,54485,1.2082182168960571,1.2431859254837037,0,
30,3,0,3,0,0,3,54485,1.108728289604187,1.335696291923523,0,
31,3,0,3,0,0,3,54490,1.219821810722351,1.7893859624862671,0,
32,3,0,3,0,0,3,54500,1.2534804344177246,1.6050763130187988,0,
33,3,0,3,0,2,3,54495,1.626238226890564,1.6325438261032104,0,
34,3,1,2,0,1,2,36325,1.255190908908844,1.4757388234138489,0,
35,3,0,3,0,0,3,54500,1.1723729372024536,1.3378053903579712,0,
36,3,1,2,0,0,2,36325,1.002341628074646,1.0066381216049194,0,
37,3,0,3,0,1,3,54490,0.9450697898864746,1.4294185638427734,0,
38,3,0,3,0,1,3,54490,0.8723304867744446,1.0081688523292542,0,
39,3,0,3,0,1,3,54505,0.8536837697029114,0.9392567276954651,0,
40,3,0,3,0,1,3,54495,1.0039807558059692,1.3624806642532348,0,
41,3,0,3,0,1,3,54490,1.162257432937622,1.5706517696380615,0,
42,3,1,2,0,0,2,36325,0.9537675976753235,1.0543745636940003,0,
43,3,1,2,0,0,2,36320,0.8981045782566071,0.9625454723834992,0,
44,3,0,3,0,0,3,54485,1.056093454360962,1.3962974071502685,0,
45,3,0,3,0,1,3,54495,1.0799833536148071,1.3162880182266234,0,
46,3,0,3,0,0,3,54510,1.0726114511489868,1.2763414621353149,0,
47,3,1,2,0,0,2,36345,1.4089131951332092,1.7162641644477845,0,
48,3,0,3,0,1,3,54500,1.0196524858474731,1.0337337732315064,0,
49,3,0,3,0,1,3,54510,0.8879767060279846,1.38099547624588,1,0.969892956173601
50,3,0,3,0,0,3,54495,1.0197885036468506,1.3111719608306884,0,
