round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,3,1,2,0,0,2,289792,7.369969129562378,8.034733724594116,0,
2,3,0,3,0,0,3,434688,3.482004165649414,3.578601264953613,0,
3,3,0,3,0,1,3,434688,2.5280702114105225,3.3383233547210693,0,
4,3,0,3,0,1,3,434688,3.4596991539001465,3.461104488372803,0,
5,3,0,3,0,1,3,434688,2.5799431800842285,3.1834456443786623,0,
6,3,0,3,0,1,3,434688,3.71855092048645,3.8468645572662354,0,
7,3,0,3,0,1,3,434688,2.456414222717285,3.911174201965332,0,
8,3,0,3,0,1,3,434688,2.6887636184692383,2.861273765563965,0,
9,3,1,2,0,1,2,289792,2.926690936088562,3.169588255882263,0,
10,3,0,3,0,2,3,434688,1.5086369514465332,1.708351230621338,0,
11,3,0,3,0,2,3,434688,1.1739548444747925,1.3071196317672729,0,
12,3,1,2,0,2,2,289792,1.1141709685325623,1.2034334063529968,0,
13,3,0,3,0,2,3,434688,1.026956558227539,1.433732509613037,0,
14,3,0,3,0,3,3,434688,0.9333300590515137,0.9841277122497558,0,
15,3,1,2,0,2,2,289792,0.956619918346405,1.1157323241233825,0,
16,3,1,2,0,1,2,289792,0.9745420813560486,1.1113263010978698,0,
17,3,1,2,0,0,2,289792,0.9534074366092682,1.0443189918994904,0,
18,3,1,2,0,1,2,289792,0.9771658182144165,1.1789077043533325,0,
19,3,0,3,0,2,3,434688,0.7093662619590759,0.8263896822929382,0,
20,3,0,3,0,1,3,434688,0.7223873734474182,1.2811256527900696,0,
21,3,0,3,0,3,3,434688,1.0936803817749023,1.2443799018859862,0,
22,3,1,2,0,0,2,289792,0.8312212526798248,0.860972386598587,0,
23,3,0,3,0,3,3,434688,0.6900087594985962,0.8839890241622925,0,
24,3,0,3,1,2,2,289792,0.569087564945221,0.7473196148872375,0,
25,3,0,3,0,3,3,434688,0.689085066318512,0.8807600617408753,0,
26,3,1,2,0,1,2,289792,1.0806500017642975,1.4045769989490509,0,
27,3,0,3,1,2,2,289792,1.0035938024520874,1.354992938041687,0,
28,3,0,3,0,2,3,434688,1.2857229709625244,1.3706232547760009,0,
29,3,0,3,0,3,3,434688,0.7270997762680054,0.8810766935348511,0,
30,3,0,3,0,2,3,434688,0.7416408658027649,0.7834301590919495,0,
31,3,0,3,0,1,3,434688,0.8420752882957458,0.9015769362449646,0,
32,3,0,3,0,2,3,434688,0.8588302731513977,1.4402807831764222,0,
33,3,0,3,0,2,3,434688,1.4125614166259766,1.6465740203857422,0,
34,3,1,2,0,2,2,289792,1.2562430500984192,1.450816309452057,0,
35,3,0,3,0,2,3,434688,0.8863635659217834,1.138630783557892,0,
36,3,1,2,0,2,2,289792,0.773575484752655,0.7977899432182312,0,
37,3,0,3,0,2,3,434688,0.7433434724807739,1.28019278049469,0,
38,3,0,3,0,1,3,434688,0.8850747346878052,0.9821123361587525,0,
39,3,0,3,0,2,3,434688,0.9025496244430542,0.9748656034469605,0,
40,3,0,3,0,2,3,434688,0.7778855562210083,0.9439742803573609,0,
41,3,0,3,0,2,3,434688,0.8821489810943604,1.3164072513580323,0,
42,3,1,2,0,0,2,289792,0.862009197473526,0.8648512661457062,0,
43,3,1,2,0,1,2,289792,0.7567813396453857,0.7911152839660645,0,
