round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,3,0,3,0,0,3,53730,6.4172139167785645,6.556807041168213,0,
2,3,1,2,0,0,2,35910,6.379987478256226,7.263606214523316,0,
3,3,0,3,0,0,3,54130,4.340345859527588,4.76756181716919,0,
4,3,0,3,0,0,3,54495,2.399285316467285,3.3674266815185545,0,
5,3,0,3,2,0,1,18170,1.487066626548767,2.147404742240906,0,
6,3,0,3,2,0,1,18175,1.3352936506271362,1.5172916173934936,0,
7,3,1,2,0,0,2,36340,2.076996684074402,2.7139114141464233,0,
8,3,0,3,0,0,3,54505,1.7017605304718018,2.6683374881744384,0,
9,3,0,3,0,0,3,54485,2.4622721672058105,2.63483247756958,0,
10,3,0,3,0,0,3,54495,1.4035241603851318,2.0072421550750734,0,
11,3,0,3,0,0,3,54050,1.9849026203155518,3.195813608169556,0,
12,3,0,3,0,0,3,54490,2.137908697128296,2.2752219676971435,0,
13,3,0,3,0,0,3,54495,2.1308717727661133,2.2523597717285155,0,
14,3,1,2,0,0,2,36330,1.9591397643089294,2.2473966479301453,0,
15,3,0,3,0,0,3,54510,2.07271409034729,2.1300072193145754,0,
16,3,1,2,0,0,2,36320,1.9008111357688904,1.9591774821281434,0,
17,3,1,2,0,0,2,36330,1.8333328366279602,1.8943716645240785,0,
18,3,0,3,0,0,3,54500,2.191359043121338,2.3191315650939943,0,
19,3,0,3,0,0,3,54495,1.7898950576782227,1.7979111671447754,0,
20,3,0,3,0,0,3,54505,1.3986858129501343,1.7319754362106323,0,
21,3,0,3,0,0,3,54500,1.5555338859558105,1.7525782585144043,0,
22,3,0,3,0,0,3,54500,1.5210754871368408,1.8620726108551025,0,
23,3,0,3,0,0,3,54505,1.6773712635040283,1.9892326831817626,0,
24,3,0,3,0,0,3,54510,1.428209662437439,1.6926509618759156,0,
25,3,0,3,0,0,3,54490,1.5275992155075073,1.553493285179138,0,
26,3,1,2,0,0,2,36320,1.2748769521713257,1.33763530254364,0,
27,3,0,3,0,0,3,54485,1.0915100574493408,1.126446580886841,0,
28,3,0,3,0,0,3,54490,1.4533123970031738,1.4984182357788085,0,
29,3,0,3,0,0,3,54500,1.2432090044021606,1.5175113916397094,0,
30,3,0,3,0,0,3,54500,0.8960757851600647,1.1265746235847474,0,
31,3,0,3,0,0,3,54495,1.0780879259109497,1.229788327217102,0,
32,3,0,3,0,0,3,54505,1.2898344993591309,1.3908480644226073,0,
33,3,0,3,0,0,3,54490,1.1049290895462036,1.1525997400283814,0,
34,3,1,2,0,0,2,36325,1.1963601112365723,1.3213131904602051,0,
35,3,0,3,0,0,3,54495,1.0606493949890137,1.2023568153381348,0,
36,3,0,3,0,0,3,54490,1.1228190660476685,1.3679055452346802,0,
37,3,0,3,0,0,3,54495,0.9208937287330627,1.0513513684272766,0,
38,3,0,3,0,0,3,54495,0.9394067525863647,0.9871631383895874,0,
39,3,0,3,0,0,3,54505,0.9108989238739014,0.9658344745635986,0,
40,3,0,3,0,0,3,54495,0.9505931735038757,1.0868825316429138,0,
41,3,0,3,0,0,3,54480,1.106236457824707,1.140688133239746,0,
42,3,1,2,0,0,2,36325,1.5369051098823547,1.8117604851722717,0,
43,3,0,3,0,0,3,54495,0.9151665568351746,0.9945082068443298,0,
44,3,1,2,0,0,2,36330,1.0154216289520264,1.1087266445159911,0,
