round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,3,1,2,0,0,2,35800,6.704478025436401,6.756841802597046,0,
2,3,0,3,0,0,3,53750,5.627896308898926,6.860865592956543,0,
3,3,0,3,0,0,3,54505,4.413265228271484,4.457121276855469,0,
4,3,1,2,0,0,2,36010,3.744661331176758,4.2182472229003904,0,
5,3,0,3,0,1,3,54505,2.521970510482788,3.1180137157440186,0,
6,3,0,3,0,0,3,53995,2.634929895401001,3.4335806369781494,0,
7,3,0,3,0,0,3,54495,2.939521312713623,3.2460015296936033,0,
8,3,0,3,0,0,3,54340,2.9471678733825684,3.0632943153381347,0,
9,3,1,2,0,0,2,36315,2.9653149843215942,3.049742913246155,0,
10,3,1,2,0,0,2,36325,2.418213367462158,2.5738528251647947,0,
11,3,1,2,0,0,2,36320,2.02572101354599,2.099637305736542,0,
12,3,0,3,0,0,3,54495,1.8678399324417114,1.8734206438064576,0,
13,3,0,3,0,0,3,54495,1.780896782875061,1.8624221086502075,0,
14,3,0,3,0,2,3,54505,1.4487980604171753,1.4937129735946655,0,
15,3,0,3,0,0,3,54500,1.292975664138794,1.363213586807251,0,
16,3,0,3,0,0,3,54495,1.2933921813964844,1.3701227188110352,0,
17,3,1,2,0,1,2,36330,1.419096052646637,1.6160322308540345,0,
18,3,0,3,0,0,3,54490,1.1994560956954956,1.5423267126083373,0,
19,3,0,3,0,1,3,54490,1.2460546493530273,1.2986148834228515,0,
20,3,1,2,0,0,2,36325,1.0657019913196564,1.1340580046176911,0,
21,3,1,2,0,0,2,36330,1.1568462252616882,1.2229505896568298,0,
22,3,1,2,0,0,2,36325,1.0546407103538513,1.075482928752899,0,
23,3,0,3,0,0,3,54495,1.038965106010437,1.2915703535079956,0,
24,3,0,3,0,1,3,54505,1.1906869411468506,1.2279481410980224,0,
25,3,0,3,0,2,3,54485,1.1260123252868652,1.3242891311645508,0,
26,3,0,3,0,0,3,54490,1.071111798286438,1.0764746904373168,0,
27,3,1,2,0,1,2,36325,1.1467887163162231,1.1938601732254028,0,
28,3,1,2,0,0,2,36320,0.9189649224281311,0.9299574494361877,0,
29,3,1,2,0,0,2,36325,0.9363455474376678,0.9592032372951508,0,
30,3,0,3,0,1,3,54520,0.9460480809211731,1.3439912438392638,0,
31,3,0,3,0,0,3,54485,1.0458486080169678,1.0915544033050537,0,
32,3,0,3,0,0,3,54480,0.9387102723121643,1.0152043461799622,0,
33,3,0,3,0,0,3,54500,0.9569124579429626,1.0143257975578308,0,
34,3,0,3,0,1,3,54495,0.9247817397117615,1.0117589831352234,0,
35,3,0,3,0,1,3,54505,0.8924384117126465,0.9425625801086426,0,
36,3,1,2,0,0,2,36335,0.8333896696567535,0.8454857647418976,0,
37,3,0,3,0,0,3,54490,0.9272826313972473,0.9824644684791565,0,
38,3,1,2,0,0,2,36325,0.972069650888443,0.9800914585590362,0,
39,3,2,1,0,0,1,18165,0.7923440933227539,0.7923440933227539,0,
40,3,0,3,0,0,3,54475,0.9909406304359436,1.0127050518989562,0,
41,3,1,2,0,1,2,36330,0.8811953067779541,1.0064622402191161,0,
42,3,0,3,0,0,3,54500,0.9599659442901611,1.127524995803833,0,
43,3,1,2,0,0,2,36325,0.9525229930877686,1.0088077068328858,0,
44,3,0,3,0,0,3,54505,1.0553911924362183,1.0568570852279664,0,
45,3,0,3,0,1,3,54495,1.1217565536499023,1.2435600280761718,0,
46,3,0,3,0,1,3,54480,0.9715994596481323,1.1365754842758178,0,
47,3,1,2,0,0,2,36320,1.0696537792682648,1.135316902399063,0,
48,3,0,3,0,3,3,54505,0.9415256381034851,0.9586695551872253,0,
49,3,1,2,0,0,2,36345,0.7845947444438934,0.8067457616329193,0,
50,3,0,3,0,0,3,54490,0.9035785794258118,0.9124601006507873,0,
51,3,0,3,0,2,3,54495,1.0307495594024658,1.1546186923980712,0,
52,3,0,3,0,1,3,54490,0.9081160426139832,0.9975154280662537,0,
53,3,2,1,0,0,1,18160,0.8297893404960632,0.8297893404960632,0,
54,3,0,3,0,0,3,54485,0.8674351572990417,1.007956826686859,0,
55,3,1,2,0,0,2,36325,0.9377297163009644,0.966979718208313,0,
56,3,0,3,0,0,3,54510,0.9522315263748169,1.1635670900344848,0,
57,3,0,3,0,0,3,54490,0.915901243686676,0.9346757531166077,0,
58,3,0,3,0,1,3,54500,0.9178934693336487,1.2929638028144836,0,
59,3,1,2,0,1,2,36335,1.0234250724315643,1.0633855760097504,0,
60,3,0,3,0,0,3,54515,0.9133500456809998,0.9676195502281189,0,
61,3,1,2,0,1,2,36330,0.8444023728370667,0.9170251488685608,0,
62,3,1,2,0,0,2,36320,0.9607218205928802,1.0860315024852754,0,
63,3,1,2,0,1,2,36325,0.9721150994300842,1.0590182423591614,0,
64,3,0,3,0,0,3,54480,0.9545471668243408,1.0934683322906493,0,
65,3,0,3,0,0,3,54490,0.9188216924667358,1.0090171575546265,0,
66,3,0,3,0,1,3,54480,0.8859495520591736,0.930724275112152,0,
