round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,3,1,2,0,0,2,37564,6.53240180015564,6.54314227104187,0,
2,3,0,3,0,0,3,56371,5.460033416748047,6.2601478576660154,0,
3,3,0,3,0,0,3,57611,3.8120288848876953,3.8435670852661135,0,
4,3,1,2,0,1,2,38239,2.3201181292533875,2.6827749609947205,0,
5,3,0,3,0,1,3,57676,2.5677895545959473,3.3164616584777833,0,
6,3,0,3,0,0,3,57676,2.329420804977417,2.406557035446167,1,0.8795435777721956
7,3,0,3,0,0,3,57736,2.5314769744873047,2.629263496398926,0,
8,3,0,3,0,0,3,57721,3.055428981781006,3.2070828437805177,0,
9,3,1,2,0,0,2,38504,2.5435158014297485,2.853191876411438,0,
10,3,1,2,0,0,2,38429,1.9987494349479675,2.1786799788475038,0,
11,3,1,2,0,1,2,38449,1.827397882938385,2.0006856083869935,0,
12,3,0,3,0,0,3,57691,1.1591604948043823,1.3662548780441284,0,
13,3,0,3,0,0,3,57596,1.4698692560195923,1.681049656867981,0,
14,3,0,3,0,1,3,57641,1.2615604400634766,1.326606273651123,0,
15,3,0,3,0,1,3,57656,1.1403465270996094,1.143791961669922,0,
16,3,0,3,0,1,3,57641,1.0810844898223877,1.1542231082916259,0,
17,3,1,2,0,1,2,38409,1.2389878034591675,1.4104368925094604,0,
18,3,0,3,0,0,3,57646,1.2141380310058594,1.4417604446411132,0,
19,3,0,3,0,0,3,57661,1.0514757633209229,1.1302925586700439,0,
20,3,1,2,0,0,2,38414,0.9938337206840515,1.017910611629486,0,
21,3,1,2,0,0,2,38379,1.1743305921554565,1.2868983030319214,0,
22,3,1,2,0,0,2,38309,1.123253583908081,1.1315440654754638,0,
23,3,0,3,0,1,3,57516,0.9883273243904114,1.4095543503761292,0,
24,3,0,3,0,0,3,57536,1.006833553314209,1.103463363647461,0,
25,3,0,3,0,2,3,57516,1.0586868524551392,1.259037709236145,0,
26,3,0,3,0,0,3,57556,0.9684624075889587,1.0035000681877135,0,
27,3,1,2,0,1,2,38294,1.1772587299346924,1.3016659259796142,0,
28,3,1,2,0,0,2,38314,0.9255578517913818,0.9483730792999268,0,
29,3,1,2,0,1,2,38259,0.8700634241104126,0.9146791696548462,0,
30,3,0,3,0,0,3,57476,0.8597115278244019,1.0759271383285522,0,
31,3,0,3,0,1,3,57471,0.9200785756111145,1.1391110062599181,0,
32,3,0,3,0,0,3,57336,0.9338213205337524,0.9780438184738159,0,
33,3,0,3,0,1,3,57351,0.9666402339935303,1.0408851146697997,0,
34,3,0,3,0,1,3,57431,0.919659435749054,1.2553840279579163,0,
35,3,0,3,0,1,3,57531,0.8715322017669678,0.8720056056976319,0,
36,3,1,2,0,0,2,38344,0.9222075939178467,0.9252072811126709,0,
37,3,0,3,0,0,3,57501,0.8309292793273926,0.8630227088928223,0,
38,3,1,2,0,1,2,38359,0.9164003431797028,0.9345613777637481,0,
39,3,2,1,0,0,1,19177,0.8236827850341797,0.8236827850341797,0,
40,3,0,3,0,1,3,57406,0.8950692415237427,0.963140320777893,0,
41,3,1,2,0,0,2,38329,0.8012994527816772,0.8284823656082153,0,
42,3,0,3,0,1,3,57161,1.038405179977417,1.4177279949188233,0,
43,3,1,2,0,0,2,38324,0.822896808385849,0.8438194453716278,0,
44,3,0,3,0,0,3,57441,0.9215192794799805,1.0275694847106933,0,
45,3,0,3,0,1,3,57436,1.038772702217102,1.4098134279251098,0,
46,3,0,3,0,1,3,57396,0.9811288714408875,1.1393736243247985,0,
47,3,1,2,0,0,2,38249,1.0441005527973175,1.1584674417972565,0,
48,3,0,3,0,0,3,57416,0.8827053904533386,0.9331468939781189,0,
49,3,1,2,0,0,2,38279,0.8911168873310089,0.9183456003665924,0,
50,3,0,3,0,0,3,57421,0.8567003607749939,0.8575569033622742,0,
51,3,0,3,0,1,3,57346,0.9536910057067871,1.121366024017334,0,
52,3,0,3,0,1,3,57366,0.8707204461097717,0.9513516545295715,0,
53,3,2,1,0,0,1,19187,0.8665357232093811,0.8665357232093811,0,
54,3,0,3,0,1,3,57356,0.8864376544952393,0.8897207260131836,0,
55,3,1,2,0,0,2,38284,0.898191899061203,0.9423684060573578,0,
56,3,0,3,0,0,3,57436,0.9152275323867798,1.0255061388015747,0,
57,3,0,3,0,1,3,57501,0.8718211054801941,0.9217521548271179,0,
58,3,0,3,0,2,3,57476,0.9381197690963745,1.0371474027633667,0,
59,3,1,2,0,2,2,38084,0.9219068586826324,1.0171798527240754,0,
60,3,0,3,0,0,3,57511,0.8713164925575256,0.9210444569587708,0,
61,3,1,2,0,0,2,38349,0.8055145442485809,0.8264885365962982,0,
62,3,1,2,0,0,2,38214,0.810440868139267,0.8942059218883515,0,
63,3,1,2,0,0,2,38179,0.9191586077213287,0.9998789131641388,0,
64,3,0,3,0,0,3,57431,0.8591802716255188,0.9582312226295471,0,
65,3,0,3,0,0,3,57406,0.7455682754516602,0.7845389366149902,0,
66,3,0,3,0,1,3,57456,0.7985507845878601,0.8922557711601258,0,
67,3,0,3,0,0,3,57481,0.803810179233551,0.8135702729225158,0,
68,3,0,3,0,0,3,57171,0.8956009149551392,0.9212734937667847,0,
69,3,0,3,0,1,3,57251,0.8585693836212158,0.9952393054962159,0,
70,3,0,3,0,1,3,57096,0.8821722269058228,0.9175586938858032,0,
71,3,0,3,0,0,3,57161,0.8859570622444153,0.9635964512825013,0,
72,3,0,3,0,0,3,57536,0.767581045627594,0.9013085961341858,0,
73,3,0,3,0,0,3,57441,0.8390747904777527,0.9122032046318054,0,
74,3,0,3,0,1,3,57396,0.8496613502502441,1.0893744468688964,0,
75,3,0,3,0,0,3,57436,0.8257640600204468,0.8382977724075318,0,
76,3,0,3,0,2,3,57376,0.8217369318008423,0.8286792039871216,0,
77,3,0,3,0,0,3,57291,0.9302405118942261,0.9873823881149292,0,
78,3,0,3,0,0,3,57476,0.7511992454528809,0.8264476776123046,0,
79,3,0,3,0,0,3,57491,0.7924546599388123,0.9072453379631042,0,
80,3,0,3,0,0,3,57376,0.8813895583152771,0.8883104205131531,0,
81,3,0,3,0,1,3,57451,0.7818147540092468,0.8213919043540955,0,
82,3,0,3,0,0,3,57401,0.9009009003639221,0.9025082230567932,0,
83,3,0,3,0,1,3,57481,0.8289421200752258,0.8657302021980285,0,
84,3,1,2,0,0,2,38364,0.8235687017440796,0.8260876417160035,0,
85,3,0,3,0,1,3,57351,0.7449409365653992,1.0630958914756774,0,
86,3,1,2,0,1,2,38214,0.8202683329582214,0.8823651194572448,0,
87,3,0,3,0,2,3,57246,0.8823920488357544,1.0574374437332152,0,
88,3,0,3,0,0,3,57356,0.7358262538909912,0.92101149559021,0,
89,3,0,3,0,0,3,57371,0.694191575050354,0.7725984334945679,0,
90,3,0,3,0,2,3,57316,0.8288261294364929,0.8317709326744079,0,
91,3,1,2,0,0,2,38204,0.8854977488517761,0.9164850592613221,0,
92,3,1,2,0,0,2,38194,1.0589382648468018,1.0786498546600343,0,
93,3,0,3,0,1,3,57321,0.9544318914413452,1.0294312238693237,0,
94,3,0,3,0,0,3,57451,0.7692703008651733,0.8325251340866089,0,
95,3,0,3,0,1,3,57386,0.9444556832313538,0.9679627537727356,0,
96,3,0,3,0,0,3,57376,0.8181524872779846,0.9697256207466125,0,
97,3,0,3,0,0,3,57391,0.7882407307624817,0.9615909218788147,0,
98,3,0,3,0,0,3,57311,0.8685367703437805,0.9198836922645569,0,
99,3,0,3,0,1,3,57421,0.797118604183197,0.9501728415489197,0,
100,3,0,3,0,0,3,57236,0.8529629707336426,0.9953365325927734,0,
101,3,0,3,0,1,3,57446,0.8910274505615234,0.9283195495605469,0,
102,3,0,3,0,0,3,57371,0.9386214017868042,0.9565392732620239,0,
103,3,1,2,0,1,2,38314,0.8584199547767639,0.9095284104347229,0,
104,3,1,2,0,1,2,38269,0.8752646446228027,0.9850912094116211,0,
105,3,0,3,0,0,3,57176,0.9161180257797241,0.9943248510360718,0,
106,3,1,2,0,1,2,38179,0.9263079166412354,1.0282764911651612,0,
107,3,1,2,0,0,2,38319,0.8318658471107483,0.8656410813331604,0,
108,3,0,3,0,1,3,57541,0.9196640849113464,0.9307954668998718,0,
109,3,0,3,0,0,3,57526,0.8616647124290466,0.88695148229599,0,
110,3,0,3,0,2,3,57076,0.8272431492805481,0.9829002976417541,0,
111,3,1,2,0,0,2,38099,0.9720834493637085,1.0851252317428588,0,
112,3,0,3,0,0,3,57476,0.8644020557403564,0.9024851799011231,0,
113,3,0,3,0,0,3,57291,0.8675338625907898,0.9125559687614441,0,
114,3,0,3,0,0,3,57231,0.889058530330658,1.0152517199516295,0,
115,3,1,2,0,1,2,38309,0.8762214183807373,0.8925129413604737,0,
116,3,0,3,0,0,3,57441,0.9353692531585693,0.9964320659637451,0,
