round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,3,1,2,0,0,2,35685,7.369969129562378,8.034733724594116,0,
2,3,0,3,0,0,3,53895,5.575464248657227,5.654391479492188,0,
3,3,0,3,0,0,3,54480,4.226691246032715,4.2652593612670895,0,
4,3,0,3,0,1,3,53830,4.204470634460449,4.254827308654785,0,
5,3,0,3,0,1,3,54275,3.323551654815674,3.7001561164855956,0,
6,3,0,3,0,0,3,54505,2.7271881103515625,3.6951622009277343,0,
7,3,0,3,0,0,3,54490,2.776296854019165,3.650653123855591,0,
8,3,0,3,0,0,3,54485,2.7835817337036133,3.200980377197266,0,
9,3,1,2,0,1,2,36330,3.724231481552124,3.887138319015503,0,
10,3,0,3,0,0,3,54505,2.6556148529052734,3.4260934829711913,0,
11,3,0,3,0,0,3,54490,2.1617743968963623,2.749097776412964,0,
12,3,1,2,0,0,2,36325,2.2518527507781982,2.2575212001800535,0,
13,3,0,3,0,0,3,54495,1.9143821001052856,2.53655207157135,0,
14,3,0,3,0,2,3,54485,1.8532350063323975,1.9932891368865966,0,
15,3,1,2,0,1,2,36330,1.6531218886375427,1.921957290172577,0,
16,3,1,2,0,0,2,36335,1.1769807934761047,1.2007075905799867,0,
17,3,1,2,0,0,2,36340,1.8819220662117004,2.0994267106056212,0,
18,3,1,2,0,0,2,36330,1.3562386631965637,1.5188522934913635,0,
19,3,0,3,0,0,3,54485,1.4307502508163452,1.5203196287155152,0,
20,3,0,3,0,1,3,54490,1.385913610458374,1.4440944194793701,0,
21,3,0,3,0,0,3,54495,1.4082720279693604,1.9220678806304932,0,
22,3,1,2,0,0,2,36320,1.3195744752883911,1.435081696510315,0,
23,3,0,3,0,0,3,54495,1.3246232271194458,1.7858183145523072,0,
24,3,0,3,0,0,3,54495,1.4816436767578125,1.6666069984436036,0,
25,3,0,3,0,0,3,54495,1.4270707368850708,1.674511456489563,0,
26,3,1,2,0,0,2,36330,1.3349601030349731,1.4278947114944458,0,
27,3,0,3,0,1,3,54500,1.2119148969650269,1.383130145072937,0,
28,3,0,3,0,2,3,54490,1.6358623504638672,1.9160067558288574,0,
29,3,0,3,0,0,3,54505,1.2088592052459717,1.3798650264739991,0,
30,3,0,3,0,1,3,54505,1.16671884059906,1.3912221670150757,0,
31,3,0,3,0,0,3,54490,1.1914277076721191,1.4712406158447267,0,
32,3,0,3,0,0,3,54505,1.0853408575057983,1.485284399986267,0,
33,3,0,3,0,2,3,54495,1.6453793048858643,1.6616856098175048,0,
34,3,1,2,0,0,2,36345,1.3955971598625183,1.6484593749046326,0,
35,3,0,3,0,1,3,54510,1.3133957386016846,1.3895352840423585,0,
36,3,1,2,0,1,2,36330,1.0094003677368164,1.0283719062805177,0,
37,3,0,3,0,0,3,54490,1.3348008394241333,1.6549020051956176,0,
38,3,0,3,0,1,3,54500,0.9620505571365356,0.9875675916671753,0,
39,3,0,3,0,0,3,54510,0.9819667339324951,1.0373814105987549,0,
40,3,0,3,0,0,3,54500,1.0653303861618042,1.2905047178268432,0,
41,3,0,3,0,1,3,54495,1.0946342945098877,1.642336893081665,0,
42,3,1,2,0,0,2,36325,1.092448651790619,1.1089016795158386,0,
43,3,1,2,0,0,2,36330,0.8797077238559723,0.9447381317615509,0,
44,3,0,3,0,0,3,54495,1.0651086568832397,1.2551066160202027,0,
45,3,0,3,0,1,3,54495,0.9683845639228821,1.370155394077301,0,
46,3,0,3,0,1,3,54480,1.0717202425003052,1.1629170656204224,0,
47,3,1,2,0,0,2,36350,1.4055223166942596,1.8152355134487153,0,
48,3,0,3,0,0,3,54500,1.111061692237854,1.1474233865737915,0,
49,3,0,3,0,2,3,54505,0.9911186099052429,1.5169009566307068,0,
50,3,0,3,0,2,3,54500,1.0115174055099487,1.2645725011825562,0,
