round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,3,1,2,0,0,2,306696,7.502358913421631,8.16154432296753,0,
2,3,0,3,0,2,3,460044,3.518723249435425,3.5770263195037844,0,
3,3,0,3,0,1,3,460044,1.1464495658874512,3.534099864959717,1,0.5550453224793472
4,3,1,2,0,0,2,306696,1.6886714398860931,2.374809902906418,0,
5,3,0,3,0,0,3,460044,4.881788730621338,5.518510532379151,0,
6,3,1,2,0,0,2,306696,3.1485215425491333,3.174075150489807,0,
7,3,0,3,0,0,3,460044,1.2250030040740967,1.2656766414642333,0,
8,3,0,3,0,0,3,460044,1.388397455215454,1.476746416091919,0,
9,3,0,3,1,0,2,306696,1.071455717086792,1.2680284976959229,0,
10,3,0,3,0,0,3,460044,1.1466710567474365,1.3029630184173584,0,
11,3,0,3,1,1,2,306696,1.1674609184265137,1.4685489654541015,0,
12,3,0,3,0,0,3,460044,1.3136757612228394,1.4525000333786011,0,
13,3,0,3,1,0,2,306696,0.7635347247123718,0.9813407301902771,0,
14,3,2,1,0,0,1,153348,1.0529115200042725,1.0529115200042725,0,
15,3,0,3,0,0,3,460044,1.4409828186035156,1.7690284729003907,0,
16,3,0,3,0,0,3,460044,0.7887994647026062,1.0676151633262634,0,
17,3,0,3,0,1,3,460044,1.2215051651000977,1.3100688934326172,0,
18,3,0,3,0,0,3,460044,1.1423683166503906,1.2423794746398926,0,
19,3,1,2,0,0,2,306696,1.027245283126831,1.1224728107452393,0,
20,3,0,3,0,1,3,460044,0.978398323059082,2.022273635864258,1,0.8570253387079545
21,3,1,2,0,1,2,306696,2.0437856912612915,2.141028141975403,0,
22,3,0,3,0,0,3,460044,0.9376101493835449,1.3172266960144043,0,
23,3,0,3,0,0,3,460044,1.3358944654464722,1.5213257551193238,0,
24,3,0,3,0,1,3,460044,1.136138677597046,1.169001054763794,0,
25,3,1,2,0,2,2,306696,1.5633519291877747,1.7111290574073792,0,
26,3,0,3,0,0,3,460044,2.3002076148986816,2.469728183746338,0,
27,3,0,3,0,0,3,460044,1.3708298206329346,1.4307013988494872,0,
28,3,0,3,0,1,3,460044,1.418069839477539,1.607844638824463,0,
29,3,0,3,0,1,3,460044,1.4136946201324463,1.6730400562286376,0,
30,3,0,3,0,1,3,460044,1.1257641315460205,1.3639313220977782,0,
31,3,0,3,0,0,3,460044,1.3395718336105347,1.4293235540390015,0,
32,3,0,3,0,0,3,460044,1.4479190111160278,1.5074825525283813,0,
33,3,0,3,0,0,3,460044,1.2364518642425537,1.373429822921753,0,
34,3,1,2,0,0,2,306696,1.48008131980896,1.5301352977752685,0,
35,3,0,3,0,1,3,460044,1.1306573152542114,1.7555791139602661,0,
36,3,0,3,0,1,3,460044,1.0462013483047485,1.2146358728408813,0,
37,3,1,2,0,1,2,306696,2.677023768424988,2.704397749900818,0,
38,3,0,3,0,0,3,460044,1.3287707567214966,1.3835395097732544,0,
39,3,0,3,0,0,3,460044,1.3708105087280273,1.5314767837524415,0,
40,3,0,3,0,0,3,460044,1.1837862730026245,1.3200423002243042,0,
41,3,1,2,0,0,2,306696,1.1090730428695679,1.2214583158493042,0,
42,3,0,3,0,1,3,460044,1.2709927558898926,1.3272998809814454,0,
43,3,0,3,0,1,3,460044,1.356249213218689,1.4528717756271363,0,
44,3,0,3,0,2,3,460044,1.2982488870620728,1.3485201120376586,0,
45,3,0,3,0,0,3,460044,0.9439653158187866,1.912888789176941,1,0.876021257127407
46,3,0,3,0,1,3,460044,1.156389832496643,1.238598370552063,0,
47,3,1,2,0,1,2,306696,0.9227754473686218,0.9624204516410828,0,
48,3,0,3,0,1,3,460044,2.4772450923919678,2.699843168258667,0,
49,3,0,3,0,0,3,460044,1.0924184322357178,1.857305097579956,0,
50,3,0,3,0,0,3,460044,1.233497142791748,1.47460880279541,0,
51,3,1,2,0,0,2,306696,1.5590624809265137,1.8152192115783692,0,
52,3,0,3,0,1,3,460044,1.554474115371704,1.593422269821167,0,
53,3,0,3,0,0,3,460044,1.2250335216522217,1.3968085765838623,0,
54,3,0,3,0,0,3,460044,1.0035213232040405,1.285495638847351,0,
55,3,0,3,0,0,3,460044,1.2861286401748657,1.3280937433242799,0,
56,3,0,3,0,0,3,460044,1.052457571029663,1.2588664531707763,0,
57,3,0,3,0,1,3,460044,1.3861457109451294,1.496189045906067,0,
58,3,1,2,0,0,2,306696,1.3063381910324097,1.3558726072311402,0,
59,3,0,3,0,1,3,460044,1.1107937097549438,1.1924453973770142,0,
60,3,1,2,0,0,2,306696,1.1111502647399902,1.1552084922790526,0,
61,3,1,2,0,1,2,306696,1.109798789024353,1.1526836156845093,0,
62,3,0,3,0,1,3,460044,1.4161112308502197,1.6194498538970947,0,
63,3,0,3,0,0,3,460044,1.3181434869766235,1.3873809099197387,0,
64,3,0,3,0,2,3,460044,0.9244757890701294,1.3411519289016725,0,
65,3,0,3,0,0,3,460044,1.2211743593215942,1.476077389717102,0,
66,3,0,3,0,1,3,460044,0.9767407774925232,1.073255145549774,0,
67,3,0,3,0,0,3,460044,0.9524279832839966,1.0627095460891725,0,
68,3,0,3,0,2,3,460044,0.9076326489448547,1.462008821964264,0,
69,3,1,2,0,0,2,306696,1.0831568837165833,1.3707739472389222,0,
70,3,0,3,0,2,3,460044,1.142069935798645,1.4036623239517212,0,
71,3,0,3,0,0,3,460044,0.9898310899734497,1.262337040901184,0,
72,3,2,1,0,0,1,153348,0.9837293028831482,0.9837293028831482,0,
73,3,0,3,0,0,3,460044,0.9389442205429077,1.3029459714889526,0,
74,3,0,3,0,0,3,460044,0.973233699798584,1.1395828247070312,0,
75,3,0,3,0,1,3,460044,0.8486400246620178,1.3841497540473937,0,
76,3,0,3,0,1,3,460044,1.297803282737732,1.4627837896347047,0,
77,3,2,1,0,0,1,153348,1.0954833030700684,1.0954833030700684,0,
78,3,0,3,0,1,3,460044,1.2616074085235596,1.4216379642486572,0,
79,3,0,3,0,1,3,460044,1.0485749244689941,1.0739559173583983,0,
80,3,0,3,0,0,3,460044,0.9360895156860352,1.3326228141784668,0,
81,3,0,3,0,0,3,460044,1.0740365982055664,1.180425262451172,0,
82,3,1,2,0,1,2,306696,0.9954701364040375,0.9997449100017548,0,
83,3,1,2,0,0,2,306696,0.8492734730243683,0.8590498983860015,0,
84,3,1,2,0,0,2,306696,1.9119354486465454,1.980272126197815,0,
85,3,1,2,0,1,2,306696,1.3390284776687622,1.5793731927871704,0,
86,3,1,2,0,0,2,306696,1.1469435691833496,1.2432018280029298,0,
87,3,0,3,0,1,3,460044,1.0483484268188477,1.1119272232055664,0,
88,3,0,3,0,0,3,460044,0.974883496761322,1.227812373638153,0,
89,3,0,3,0,2,3,460044,1.074540615081787,1.099545383453369,0,
90,3,0,3,0,1,3,460044,1.482967495918274,1.6216357469558715,0,
91,3,0,3,0,1,3,460044,1.0463600158691406,1.2861238479614259,0,
92,3,0,3,0,0,3,460044,0.9569734930992126,1.1466988444328308,0,
93,3,0,3,0,1,3,460044,0.9802742004394531,1.047132396697998,0,
94,3,0,3,0,1,3,460044,1.0244911909103394,1.1590540647506713,0,
95,3,0,3,0,2,3,460044,0.9579720497131348,1.0577923774719238,0,
96,3,0,3,0,1,3,460044,0.9880495071411133,1.2022831916809082,0,
97,3,1,2,0,0,2,306696,1.0253729224205017,1.0693184733390808,0,
98,3,2,1,0,0,1,153348,0.9308027625083923,0.9308027625083923,0,
99,3,0,3,0,1,3,460044,1.1496316194534302,1.1743294954299928,0,
100,3,2,1,0,0,1,153348,1.1660666465759277,1.1660666465759277,0,
101,3,0,3,0,0,3,460044,1.1833422183990479,1.2091395854949951,0,
102,3,0,3,0,0,3,460044,0.9791085124015808,1.0026024222373962,0,
103,3,0,3,0,2,3,460044,0.8665688037872314,1.3606493473052979,0,
104,3,0,3,0,0,3,460044,1.2332392930984497,1.4059037446975708,0,
105,3,0,3,0,0,3,460044,1.0479811429977417,1.0597056150436401,0,
106,3,0,3,0,1,3,460044,1.092384696006775,1.1279670476913453,0,
107,3,1,2,0,1,2,306696,1.0423720479011536,1.0614905953407288,0,
108,3,2,1,0,0,1,153348,0.9834810495376587,0.9834810495376587,0,
109,3,0,3,0,0,3,460044,1.7025525569915771,1.7029750347137451,0,
110,3,0,3,0,0,3,460044,1.2791121006011963,1.3332371234893798,0,
111,3,0,3,0,1,3,460044,0.9941608309745789,1.1241572737693786,0,
112,3,0,3,0,0,3,460044,1.4798849821090698,1.5170596837997437,0,
113,3,0,3,0,0,3,460044,1.2364401817321777,1.3968994140625,0,
114,3,0,3,0,0,3,460044,1.1421525478363037,1.238591718673706,0,
115,3,0,3,0,1,3,460044,1.1534870862960815,1.1919718503952026,0,
116,3,1,2,0,0,2,306696,1.106282114982605,1.1220346212387085,0,
117,3,1,2,0,0,2,306696,0.9937666058540344,1.0025243401527404,0,
118,3,0,3,0,1,3,460044,1.2297523021697998,1.3213693141937255,0,
119,3,0,3,0,0,3,460044,1.0964477062225342,1.1860555171966554,0,
120,3,0,3,0,2,3,460044,1.072986364364624,1.0943524837493896,0,
121,3,0,3,0,1,3,460044,1.0110093355178833,1.2857231378555298,0,
122,3,1,2,0,0,2,306696,0.973008930683136,0.9950811982154846,0,
123,3,0,3,0,1,3,460044,1.0656448602676392,1.0713155031204225,0,
124,3,1,2,0,1,2,306696,0.9788390398025513,1.0133873224258423,0,
125,3,0,3,0,0,3,460044,1.0252280235290527,1.096199893951416,0,
126,3,0,3,0,0,3,460044,1.4575759172439575,1.4705551385879516,0,
127,3,0,3,0,0,3,460044,1.142243504524231,1.1993425607681274,0,
128,3,0,3,0,1,3,460044,0.9570116996765137,0.9938129425048828,0,
129,3,1,2,0,0,2,306696,0.9196322560310364,1.026056158542633,0,
130,3,0,3,0,0,3,460044,1.0691999197006226,1.2262177228927613,0,
131,3,0,3,0,0,3,460044,1.2573364973068237,1.2666184186935425,0,
132,3,0,3,0,1,3,460044,1.0961616039276123,1.1027263164520265,0,
133,3,0,3,0,0,3,460044,0.9399638772010803,1.0125092625617982,0,
134,3,1,2,0,0,2,306696,0.9563175737857819,0.9740192711353302,0,
135,3,0,3,0,0,3,460044,0.8807579278945923,1.0084466218948365,0,
136,3,0,3,0,1,3,460044,1.1056121587753296,1.1742754697799682,0,
137,3,0,3,0,1,3,460044,1.0320603847503662,1.0521420001983643,0,
138,3,1,2,0,1,2,306696,1.0331127643585205,1.0427635669708253,0,
139,3,1,2,0,0,2,306696,1.0650148689746857,1.1621422827243806,0,
140,3,1,2,0,1,2,306696,0.9716022908687592,1.012702625989914,0,
141,3,1,2,0,2,2,306696,1.0113769173622131,1.0552880406379699,0,
142,3,0,3,0,0,3,460044,1.6019877195358276,1.8178202390670777,0,
143,3,0,3,0,0,3,460044,1.0425975322723389,1.1066376209259032,0,
144,3,0,3,0,1,3,460044,1.1277598142623901,1.39207980632782,0,
145,3,1,2,0,2,2,306696,1.0053692162036896,1.053510957956314,0,
146,3,0,3,0,1,3,460044,1.0272960662841797,1.0886126518249513,0,
147,3,1,2,0,2,2,306696,1.1460901498794556,1.3523231744766235,0,
148,3,0,3,0,0,3,460044,1.1106536388397217,1.2084587574005128,0,
149,3,0,3,0,0,3,460044,1.0333428382873535,1.1441832542419434,0,
150,3,1,2,0,0,2,306696,1.0525997281074524,1.075147020816803,0,
151,3,1,2,0,0,2,306696,0.9425819516181946,0.9475084900856018,0,
152,3,0,3,0,1,3,460044,0.8952286839485168,0.922396433353424,0,
153,3,1,2,0,0,2,306696,1.4759051203727722,1.502015435695648,0,
154,3,0,3,0,1,3,460044,1.3457331657409668,1.538200855255127,0,
155,3,0,3,0,0,3,460044,1.1587387323379517,1.3809865236282348,0,
156,3,0,3,0,1,3,460044,1.1005810499191284,1.1990293264389038,0,
157,3,0,3,0,2,3,460044,1.0839775800704956,1.264717173576355,0,
158,3,0,3,0,2,3,460044,0.9622945785522461,1.0379788398742675,0,
159,3,0,3,0,0,3,460044,1.1165049076080322,1.230555772781372,0,
160,3,0,3,0,0,3,460044,1.3029348850250244,1.3429999828338623,0,
161,3,0,3,0,0,3,460044,1.0012739896774292,1.0602370023727417,0,
162,3,1,2,0,1,2,306696,0.9972738027572632,1.0139631032943726,0,
163,3,0,3,0,1,3,460044,1.112381935119629,1.2362056732177735,0,
164,3,0,3,0,2,3,460044,1.045420527458191,1.0474909543991089,0,
165,3,0,3,0,0,3,460044,1.064929485321045,1.1978135108947754,0,
166,3,0,3,0,1,3,460044,1.072171926498413,1.2015937328338624,0,
167,3,0,3,0,1,3,460044,1.018553614616394,1.0992305517196654,0,
168,3,2,1,0,0,1,153348,1.148278832435608,1.148278832435608,0,
169,3,0,3,0,1,3,460044,1.0795663595199585,1.1848716497421266,0,
170,3,0,3,0,2,3,460044,1.1107808351516724,1.1805334329605102,0,
171,3,0,3,0,1,3,460044,1.0980079174041748,1.0992234706878663,0,
172,3,0,3,0,0,3,460044,0.8762449026107788,1.378100371360779,0,
173,3,1,2,0,0,2,306696,1.0218477845191956,1.0930115818977355,0,
174,3,0,3,0,0,3,460044,1.1961480379104614,1.2439082384109497,0,
175,3,0,3,0,0,3,460044,1.0203100442886353,1.0382459878921508,0,
176,3,0,3,0,0,3,460044,1.0528271198272705,1.301337766647339,0,
177,3,0,3,0,0,3,460044,1.0384498834609985,1.1313828706741333,0,
178,3,0,3,0,2,3,460044,0.888093888759613,0.9098426222801208,0,
179,3,0,3,0,0,3,460044,1.5374376773834229,1.5678530216217041,0,
180,3,0,3,0,0,3,460044,1.1872907876968384,1.299744439125061,0,
181,3,0,3,0,2,3,460044,1.1412632465362549,1.2239355564117431,0,
182,3,0,3,0,2,3,460044,1.1494128704071045,1.1872238636016845,0,
183,3,0,3,0,2,3,460044,1.0437653064727783,1.2119168758392334,0,
184,3,0,3,0,1,3,460044,0.9482991099357605,0.9633971571922302,0,
185,3,1,2,0,0,2,306696,0.8872491419315338,0.8961014091968537,0,
186,3,0,3,0,2,3,460044,0.9588491320610046,1.202618157863617,0,
187,3,0,3,0,0,3,460044,0.9417552947998047,1.09729061126709,0,
188,3,1,2,0,1,2,306696,1.0287410020828247,1.1623351335525514,0,
189,3,0,3,0,0,3,460044,1.2102770805358887,1.239292812347412,0,
190,3,2,1,0,0,1,153348,0.9978047609329224,0.9978047609329224,0,
191,3,1,2,0,0,2,306696,1.362240195274353,1.4140815496444703,0,
192,3,1,2,0,0,2,306696,1.2069470286369324,1.2621304869651795,0,
193,3,2,1,0,0,1,153348,1.297221302986145,1.297221302986145,0,
194,3,0,3,0,0,3,460044,1.245469570159912,1.2480012893676757,0,
195,3,0,3,0,0,3,460044,0.9767761826515198,1.0451837658882142,0,
196,3,0,3,0,0,3,460044,1.158358097076416,1.3103252410888673,0,
197,3,0,3,0,2,3,460044,1.2220040559768677,1.2367939233779908,0,
198,3,0,3,0,0,3,460044,0.9990735650062561,1.1312528729438782,0,
199,3,0,3,0,0,3,460044,1.3031212091445923,1.4352653741836547,0,
200,3,1,2,0,0,2,306696,1.14032581448555,1.2607923090457915,0,
