round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,3,1,2,0,0,2,37364,7.502358913421631,8.16154432296753,0,
2,3,0,3,0,0,3,56681,5.121316432952881,5.335758113861084,0,
3,3,0,3,0,0,3,57286,3.681783437728882,3.73411021232605,0,
4,3,1,2,0,0,2,37974,1.8282506465911865,2.053657865524292,0,
5,3,0,3,0,0,3,57611,2.713033437728882,3.081832265853882,0,
6,3,1,2,0,0,2,38479,2.9008572101593018,3.0842236042022706,0,
7,3,0,3,1,0,2,38449,1.608119010925293,1.8809708595275878,0,
8,3,0,3,0,0,3,57746,2.657564401626587,3.1333811283111572,0,
9,3,0,3,0,0,3,57716,2.173485040664673,3.1206533908843994,0,
10,3,0,3,0,0,3,57706,1.674411654472351,2.5552366018295287,0,
11,3,0,3,0,0,3,57721,2.3609092235565186,2.7988017559051515,0,
12,3,0,3,0,0,3,57646,1.830559492111206,2.288561964035034,0,
13,3,0,3,0,0,3,57661,1.619734287261963,1.8874519348144532,0,
14,3,2,1,0,0,1,19172,1.321565866470337,1.321565866470337,0,
15,3,0,3,0,0,3,57636,1.4707355499267578,2.2217111587524414,0,
16,3,0,3,0,0,3,57641,1.4738073348999023,1.6994772911071778,0,
17,3,0,3,0,0,3,57611,1.2682123184204102,1.6816877365112304,0,
18,3,0,3,0,0,3,57586,1.1706953048706055,1.208060073852539,0,
19,3,1,2,0,0,2,38339,1.1913242936134338,1.2985782742500305,0,
20,3,0,3,0,0,3,57661,1.0277111530303955,1.3349503040313722,0,
21,3,1,2,0,0,2,38409,1.6576700806617737,1.8141707539558412,0,
22,3,0,3,0,0,3,57626,1.276899814605713,1.289256477355957,0,
23,3,0,3,0,0,3,57511,1.5166990756988525,2.1153276920318604,0,
24,3,0,3,0,0,3,57576,1.1815903186798096,1.218682336807251,0,
25,3,1,2,0,0,2,38399,1.2406373023986816,1.349670124053955,0,
26,3,0,3,0,0,3,57606,1.9353828430175781,2.024053382873535,0,
27,3,0,3,0,0,3,57566,1.0566128492355347,1.6408217191696166,0,
28,3,0,3,0,0,3,57596,1.4914274215698242,1.7912687301635741,0,
29,3,0,3,0,0,3,57601,1.5343092679977417,1.7616340398788453,0,
