round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,3,1,2,0,0,2,37719,6.924447774887085,6.939296674728394,0,
2,3,0,3,0,3,3,57156,5.89247989654541,5.910616111755371,0,
3,3,0,3,0,2,3,56796,4.394389629364014,4.424345684051514,1,0.6620883767269612
4,3,0,3,0,2,3,57691,2.793335437774658,2.8167166709899902,0,
5,3,0,3,0,1,3,57601,1.460809350013733,1.5148964166641234,0,
6,3,0,3,0,1,3,57646,1.416300892829895,1.644471573829651,0,
7,3,0,3,0,1,3,57671,1.4011070728302002,1.5876574039459228,0,
8,3,0,3,0,0,3,57641,1.520029067993164,1.6071033477783203,0,
9,3,0,3,0,0,3,57686,1.3725991249084473,1.5934446334838868,0,
10,3,0,3,0,1,3,57531,1.3097656965255737,1.826078963279724,0,
11,3,0,3,0,1,3,57651,1.4143078327178955,1.5953970432281495,0,
12,3,0,3,0,0,3,57576,1.7146121263504028,1.737838864326477,0,
13,3,1,2,0,1,2,38454,1.6743654012680054,1.7670237302780152,0,
14,3,1,2,0,1,2,38359,1.8161107301712036,2.2970791101455688,0,
15,3,1,2,0,1,2,38454,1.277773141860962,1.2783383846282959,0,
16,3,0,3,0,0,3,57656,1.8984216451644897,2.3055315732955934,0,
17,3,0,3,0,0,3,57591,1.7948524951934814,2.342705011367798,0,
18,3,0,3,0,2,3,57586,1.8169598579406738,2.26283712387085,0,
19,3,0,3,0,0,3,57661,1.681284785270691,1.7985417127609253,0,
20,3,0,3,0,1,3,57601,1.6391170024871826,1.9725669384002686,0,
21,3,0,3,0,0,3,57691,1.5490301847457886,1.9049056768417358,0,
22,3,0,3,0,0,3,57581,1.9552639722824097,1.998023772239685,0,
23,3,0,3,0,0,3,57691,1.8045709133148193,2.0432900905609133,0,
24,3,0,3,0,0,3,57651,1.7662467956542969,1.9390070915222168,0,
25,3,1,2,0,0,2,38409,1.0896700024604797,1.1073032021522522,0,
26,3,0,3,0,1,3,57641,2.0006163120269775,2.003391695022583,0,
27,3,0,3,0,0,3,57631,1.3540983200073242,1.6997688293457032,0,
28,3,0,3,0,1,3,57546,1.2203377485275269,1.5815434217453004,0,
29,3,0,3,0,0,3,57571,1.424505591392517,1.6320567846298217,0,
30,3,0,3,0,0,3,57616,1.4719161987304688,1.8470932960510253,0,
31,3,0,3,0,0,3,57666,1.3893613815307617,1.4947142601013184,0,
32,3,1,2,0,0,2,38399,1.253082275390625,1.346396541595459,0,
33,3,1,2,0,0,2,38339,1.1622628569602966,1.1933628916740417,0,
34,3,0,3,0,0,3,57566,0.965137779712677,1.119300329685211,0,
35,3,0,3,0,0,3,57556,1.3405362367630005,1.5766045808792115,0,
36,3,0,3,0,1,3,57591,1.0429987907409668,1.5278098106384277,0,
37,3,0,3,0,0,3,57601,1.484572410583496,2.321653938293457,0,
38,3,0,3,0,1,3,57586,1.3501675128936768,1.5302890300750733,0,
39,3,0,3,0,1,3,57511,1.4643746614456177,2.5524700403213503,1,0.8750121378611536
40,3,0,3,0,1,3,57621,1.8433749675750732,1.9353368282318115,0,
41,3,0,3,0,2,3,57576,1.5012218952178955,1.5363049030303955,0,
42,3,0,3,0,0,3,57601,0.9746703505516052,1.3695669054985047,0,
43,3,0,3,0,1,3,57546,1.104625940322876,1.3925074100494386,0,
44,3,0,3,0,0,3,57481,1.0449845790863037,1.089930772781372,0,
45,3,0,3,0,0,3,57471,1.2891194820404053,1.294867181777954,0,
46,3,0,3,0,0,3,57526,1.0719892978668213,1.4218400478363038,0,
47,3,0,3,0,0,3,57521,0.9863604307174683,1.065783476829529,0,
48,3,0,3,0,0,3,57511,0.987978458404541,1.0506883621215821,0,
49,3,0,3,0,0,3,57526,0.8288574814796448,0.8706496834754944,0,
50,3,0,3,0,1,3,57476,1.0260752439498901,1.0781583547592164,0,
51,3,0,3,0,1,3,57471,0.8613599538803101,1.2552267789840699,0,
52,3,1,2,0,1,2,38284,1.0171924531459808,1.2083203494548798,0,
53,3,0,3,0,1,3,57541,0.8837648034095764,1.2176142811775208,0,
54,3,0,3,0,2,3,57621,1.4084683656692505,1.4165250062942505,0,
55,3,0,3,0,0,3,57556,0.9465327858924866,1.0610209584236145,0,
56,3,1,2,0,0,2,38309,1.164294958114624,1.2346621036529541,0,
57,3,1,2,0,1,2,38384,1.1034664511680603,1.1368021845817566,0,
58,3,0,3,0,0,3,57521,1.1134880781173706,1.1500712156295776,0,
59,3,0,3,0,1,3,57396,0.9444652199745178,1.0346312642097473,0,
60,3,0,3,0,0,3,57521,1.1191902160644531,1.2101571083068847,0,
61,3,1,2,0,0,2,38339,1.2032875418663025,1.2388133883476258,0,
62,3,0,3,0,0,3,57471,1.0165033340454102,1.0290276527404785,0,
63,3,1,2,0,0,2,38379,1.012456864118576,1.2255712449550629,0,
64,3,1,2,0,1,2,38194,1.0443415343761444,1.1100702226161956,0,
65,3,0,3,0,1,3,57551,0.9302369952201843,1.2195038199424744,0,
66,3,1,2,0,1,2,38339,0.9189971387386322,0.9589990317821503,0,
67,3,1,2,0,0,2,38174,0.9217119216918945,0.9677120208740234,0,
68,3,0,3,0,1,3,57301,0.8741729259490967,1.1137741565704347,0,
69,3,1,2,0,1,2,38049,1.1769998967647552,1.3319874465465547,0,
70,3,0,3,0,1,3,57481,1.233363389968872,1.560512399673462,0,
71,3,1,2,0,2,2,38294,1.337110459804535,1.4303300738334657,0,
72,3,0,3,0,0,3,57381,1.2412381172180176,1.3338408470153809,0,
73,3,0,3,0,1,3,57466,1.0973999500274658,1.3648122310638429,0,
74,3,1,2,0,0,2,38419,1.1261104047298431,1.2294792830944061,0,
75,3,1,2,0,0,2,38334,1.0535619258880615,1.103285551071167,0,
76,3,0,3,0,0,3,57571,1.1217855215072632,1.1534387350082398,0,
77,3,1,2,0,2,2,38289,1.1529969573020935,1.169344699382782,0,
78,3,0,3,0,2,3,57531,0.8801227807998657,1.2404939889907838,0,
79,3,0,3,0,1,3,57376,0.9952055215835571,1.162033200263977,0,
80,3,1,2,0,0,2,38234,1.0796255469322205,1.1546361804008485,0,
81,3,0,3,0,0,3,57541,1.075408697128296,1.3742963314056396,0,
82,3,0,3,0,0,3,57521,0.8924118876457214,1.1911599516868592,0,
83,3,1,2,0,1,2,38299,0.8363893330097198,0.8388021528720856,0,
84,3,1,2,0,0,2,38374,1.1287041902542114,1.3691520929336547,0,
85,3,0,3,0,0,3,57516,0.8492472171783447,0.857194185256958,0,
86,3,0,3,0,2,3,57371,0.7971312403678894,1.0554847121238708,0,
87,3,0,3,0,1,3,57271,0.7738898396492004,0.9829135537147522,0,
88,3,1,2,0,2,2,38189,0.9900690317153931,1.10052387714386,0,
89,3,0,3,0,0,3,57291,1.079346776008606,1.4970032930374146,0,
90,3,0,3,0,0,3,57511,0.8368154168128967,1.2454264760017395,0,
91,3,0,3,0,1,3,57356,0.8748652338981628,0.9517345786094665,0,
92,3,0,3,0,0,3,57641,1.3721530437469482,1.3818172931671142,0,
93,3,1,2,0,0,2,38199,1.0485883355140686,1.0485931515693665,0,
94,3,1,2,0,0,2,38284,1.0481629967689514,1.1781204342842102,0,
95,3,1,2,0,0,2,38349,0.9828390777111053,1.007018941640854,0,
96,3,0,3,0,1,3,57311,1.0449401140213013,1.145546269416809,0,
97,3,1,2,0,0,2,38324,0.9345787465572357,0.9800813853740692,0,
98,3,0,3,0,0,3,57416,1.1361032724380493,1.273255181312561,0,
99,3,0,3,0,3,3,57501,0.8419056534767151,1.1530869603157043,0,
100,3,0,3,0,1,3,57556,0.8654598593711853,1.0017122149467468,0,
101,3,1,2,0,1,2,38369,1.166666567325592,1.2471797108650207,0,
102,3,0,3,0,0,3,57616,0.9041408896446228,1.0504082560539245,0,
103,3,0,3,0,1,3,57526,0.9145493507385254,0.929014778137207,0,
104,3,0,3,0,1,3,57571,0.955122709274292,1.0081193447113037,0,
105,3,0,3,0,0,3,57481,0.8340979814529419,1.152775025367737,0,
106,3,0,3,0,1,3,57441,0.9460973143577576,1.1479488253593444,0,
107,3,0,3,0,0,3,57391,0.881598174571991,0.9985652327537536,0,
108,3,1,2,0,2,2,38204,0.8922603130340576,0.9302844524383544,0,
109,3,0,3,0,0,3,57276,0.9824211001396179,1.3589447379112243,0,
110,3,0,3,0,2,3,57371,1.0091878175735474,1.1992794275283813,0,
111,3,1,2,0,0,2,38184,1.1614081263542175,1.3123613715171814,0,
112,3,0,3,0,2,3,57451,0.9871789813041687,1.0315488219261169,0,
113,3,1,2,0,0,2,38214,1.0116208493709564,1.0994247138500213,0,
114,3,0,3,0,1,3,57351,1.074519395828247,1.09566388130188,0,
115,3,0,3,0,0,3,57421,1.009665846824646,1.2018944501876831,0,
116,3,1,2,0,1,2,38114,0.944188117980957,0.9635356903076172,0,
117,3,0,3,0,1,3,57361,0.9511356353759766,1.2340041160583497,0,
118,3,0,3,0,0,3,57596,0.8881962895393372,1.030790674686432,0,
119,3,0,3,0,1,3,57496,1.079854965209961,1.0979257583618165,0,
120,3,0,3,0,0,3,57321,0.9628113508224487,1.0892902135848999,0,
121,3,1,2,0,0,2,38419,1.0935108661651611,1.0962852954864502,0,
