round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,3,1,2,0,0,2,37364,7.502358913421631,8.16154432296753,0,
2,3,0,3,0,2,3,56681,5.121316432952881,5.335758113861084,0,
3,3,0,3,0,2,3,57291,3.7322020530700684,3.783558750152588,0,
4,3,1,2,0,0,2,38009,1.966715693473816,2.1377717733383177,0,
5,3,0,3,0,0,3,57536,2.4879872798919678,3.1284459590911866,0,
6,3,1,2,0,0,2,38474,2.911742329597473,3.0890486001968385,0,
7,3,0,3,0,0,3,57651,1.717960238456726,1.8596547842025757,0,
8,3,0,3,0,0,3,57746,2.842320442199707,3.0540534973144533,0,
9,3,0,3,0,0,3,57711,1.843023419380188,2.671863389015198,0,
10,3,0,3,0,0,3,57701,1.6238340139389038,2.464923548698425,0,
11,3,0,3,0,0,3,57706,2.1101126670837402,2.516565227508545,0,
12,3,0,3,0,0,3,57616,1.7519246339797974,2.133646035194397,0,
13,3,0,3,0,1,3,57616,1.960193395614624,2.0727042675018312,0,
14,3,2,1,0,0,1,19167,1.390622854232788,1.390622854232788,0,
15,3,0,3,0,0,3,57641,1.6288187503814697,2.231741762161255,0,
16,3,0,3,0,0,3,57596,1.406221866607666,1.564323329925537,0,
17,3,0,3,0,1,3,57621,1.3816076517105103,1.4039279222488403,0,
18,3,0,3,0,0,3,57541,1.3198652267456055,1.3591905593872071,0,
19,3,1,2,0,0,2,38314,1.2512242197990417,1.298094594478607,0,
20,3,0,3,0,1,3,57561,1.229091763496399,1.6015185594558716,0,
21,3,1,2,0,0,2,38419,2.0982328057289124,2.2260939717292785,0,
22,3,0,3,0,0,3,57621,1.4932087659835815,1.4991079092025756,0,
23,3,0,3,0,2,3,57556,1.5138318538665771,1.868397855758667,0,
24,3,0,3,0,0,3,57621,1.166057825088501,1.3110997676849365,0,
25,3,1,2,0,0,2,38394,1.3777777552604675,1.478637158870697,0,
26,3,0,3,0,0,3,57601,2.051010847091675,2.467807340621948,0,
27,3,0,3,0,0,3,57591,1.1516534090042114,1.763597321510315,0,
28,3,0,3,0,2,3,57606,1.381048560142517,1.6718794584274292,0,
29,3,0,3,0,1,3,57611,1.6339097023010254,1.7027993202209473,0,
30,3,0,3,0,0,3,57626,1.1309032440185547,1.301809024810791,0,
31,3,0,3,0,0,3,57556,1.5367099046707153,1.6961029291152954,0,
32,3,0,3,0,0,3,57586,1.6528757810592651,1.7637939214706422,0,
33,3,0,3,0,1,3,57591,1.1302648782730103,1.3048852205276489,0,
34,3,1,2,0,0,2,38404,1.6011162996292114,1.6690906763076783,0,
35,3,0,3,0,1,3,57621,1.3086508512496948,1.6940383672714234,0,
36,3,0,3,0,0,3,57596,1.184440016746521,1.2901248693466187,0,
37,3,1,2,0,1,2,38499,2.4936426877975464,2.6051042318344115,0,
38,3,0,3,0,1,3,57601,1.4010028839111328,1.4091238021850585,0,
39,3,0,3,0,0,3,57631,1.8535263538360596,2.054431200027466,0,
40,3,0,3,0,1,3,57591,1.5269443988800049,1.5664413928985597,0,
41,3,1,2,0,0,2,38424,1.3618889451026917,1.5100231289863586,0,
42,3,0,3,0,0,3,57641,1.2597821950912476,1.7569415807723998,0,
43,3,0,3,0,0,3,57591,1.6282382011413574,1.7812338829040528,0,
44,3,0,3,0,2,3,57601,1.7455946207046509,1.7510488748550415,0,
45,3,0,3,0,0,3,57616,1.2925024032592773,1.7396448135375977,0,
46,3,0,3,0,0,3,57581,1.1712515354156494,1.2145865917205811,0,
47,3,1,2,0,2,2,38394,1.0273204147815704,1.1247277319431306,0,
48,3,0,3,0,1,3,57686,3.1154284477233887,3.6330025672912596,0,
49,3,0,3,0,1,3,57576,1.3055939674377441,2.449665927886963,0,
50,3,0,3,0,0,3,57591,1.1275556087493896,1.9593730449676514,0,
51,3,1,2,0,0,2,38379,1.6915024518966675,2.116025519371033,0,
52,3,0,3,0,1,3,57671,1.508182168006897,1.5134177446365356,0,
53,3,0,3,0,0,3,57596,1.5638070106506348,1.6244996070861817,0,
54,3,0,3,0,0,3,57581,1.1233083009719849,1.2600136041641234,0,
55,3,0,3,0,0,3,57466,1.782513976097107,1.8020658254623414,0,
56,3,0,3,0,0,3,57591,1.508138656616211,1.551595401763916,0,
57,3,0,3,0,2,3,57566,1.5311239957809448,1.7260568380355834,0,
58,3,1,2,0,1,2,38374,1.3210615515708923,1.356477725505829,0,
59,3,0,3,0,0,3,57526,1.2783854007720947,1.2938592433929443,0,
60,3,1,2,0,0,2,38404,1.3231467604637146,1.4423979640007019,0,
61,3,1,2,0,0,2,38399,1.3605831265449524,1.384871256351471,0,
62,3,0,3,0,2,3,57661,1.7937368154525757,1.9617522001266479,0,
63,3,0,3,0,1,3,57626,1.0621416568756104,1.1783218860626221,0,
64,3,0,3,0,1,3,57546,1.1775275468826294,1.4681872606277466,0,
65,3,0,3,0,0,3,57606,1.3319848775863647,1.5445152044296264,0,
66,3,0,3,0,1,3,57586,1.0895274877548218,1.408250594139099,0,
67,3,0,3,0,2,3,57586,1.1788233518600464,1.2752225637435912,0,
68,3,0,3,0,0,3,57616,1.1130216121673584,2.2961665630340575,0,
69,3,1,2,0,0,2,38444,1.670012891292572,2.202688491344452,0,
70,3,0,3,0,1,3,57626,1.8584643602371216,1.9811445474624634,0,
71,3,0,3,0,1,3,57586,1.285661220550537,1.3923263549804688,0,
72,3,2,1,0,0,1,19192,1.315466284751892,1.315466284751892,0,
73,3,0,3,0,0,3,57566,1.121635913848877,2.2305726051330566,0,
74,3,0,3,0,2,3,57561,1.0178120136260986,1.024339246749878,0,
75,3,0,3,0,1,3,57591,1.0759093761444092,2.407058095932007,0,
76,3,0,3,0,1,3,57661,2.052137613296509,2.2157101154327394,0,
77,3,2,1,0,0,1,19227,1.1457074880599976,1.1457074880599976,0,
78,3,0,3,0,0,3,57601,1.4626010656356812,1.5444823026657104,0,
79,3,0,3,0,0,3,57591,1.4181437492370605,1.586832332611084,0,
80,3,0,3,0,0,3,57591,1.3911051750183105,1.4492347717285157,0,
81,3,0,3,0,0,3,57601,1.4459526538848877,1.5046160221099854,0,
82,3,1,2,0,1,2,38369,1.291116714477539,1.3242130279541016,0,
83,3,1,2,0,0,2,38349,1.0218921899795532,1.0457542657852172,0,
84,3,1,2,0,1,2,38454,2.474096655845642,2.7119002103805543,0,
85,3,1,2,0,1,2,38379,1.3931567668914795,1.3999578952789307,0,
86,3,1,2,0,0,2,38359,1.1252872347831726,1.192212426662445,0,
87,3,0,3,0,1,3,57601,1.2507524490356445,1.3251377105712892,0,
88,3,0,3,0,1,3,57591,1.3111518621444702,1.5354122877120973,0,
89,3,0,3,0,1,3,57566,1.1983798742294312,1.2805968046188354,0,
90,3,0,3,0,0,3,57636,1.6721038818359375,1.8343821525573731,0,
91,3,0,3,0,0,3,57586,1.1738559007644653,1.4473845720291139,0,
92,3,0,3,0,1,3,57586,1.271968960762024,1.2807924509048463,0,
93,3,0,3,0,1,3,57571,1.0774190425872803,1.2834395885467529,0,
94,3,0,3,0,0,3,57581,1.1591155529022217,1.262906789779663,0,
95,3,0,3,0,1,3,57581,0.888550341129303,1.1461648106575013,0,
96,3,0,3,0,1,3,57556,0.9782161712646484,1.3825026512145997,0,
97,3,1,2,0,0,2,38304,1.0789526104927063,1.1712025284767151,0,
98,3,2,1,0,0,1,19127,0.8622029423713684,0.8622029423713684,0,
99,3,0,3,0,1,3,57596,1.0926839113235474,1.4969717264175415,0,
100,3,2,1,0,0,1,19172,1.4534859657287598,1.4534859657287598,0,
101,3,0,3,0,1,3,57586,1.3418022394180298,1.4943689584732056,0,
102,3,0,3,0,2,3,57566,0.8764768838882446,1.0836499452590942,0,
103,3,0,3,0,1,3,57586,0.9824793338775635,2.067787599563599,0,
104,3,0,3,0,0,3,57596,1.6092820167541504,1.7574559211730958,0,
105,3,0,3,0,2,3,57606,1.0874391794204712,1.11934654712677,0,
106,3,0,3,0,0,3,57506,1.1547750234603882,1.3147403478622437,0,
107,3,1,2,0,1,2,38389,1.06851726770401,1.1630429387092591,0,
108,3,2,1,0,0,1,19172,0.9905909299850464,0.9905909299850464,0,
109,3,0,3,0,1,3,57621,1.5564494132995605,1.560694694519043,0,
110,3,0,3,0,1,3,57551,1.1608824729919434,1.2091020584106444,0,
111,3,0,3,0,1,3,57546,1.163848876953125,1.2713717460632323,0,
112,3,0,3,0,0,3,57636,1.7243404388427734,1.8690433502197266,0,
113,3,0,3,0,0,3,57571,1.0829405784606934,1.1763731956481933,0,
114,3,0,3,0,1,3,57591,1.0707154273986816,1.2001739501953126,0,
115,3,0,3,0,0,3,57571,1.0304527282714844,1.1563019752502441,0,
116,3,1,2,0,1,2,38374,1.0422717034816742,1.0775420367717743,0,
117,3,1,2,0,0,2,38404,0.8901282250881195,0.9158720195293426,0,
118,3,0,3,0,1,3,57586,1.676788568496704,1.7181652545928956,0,
119,3,0,3,0,2,3,57551,1.109831690788269,1.2272066831588746,0,
120,3,0,3,0,0,3,57526,1.161826252937317,1.3117089509963988,0,
121,3,0,3,0,1,3,57556,0.9284707307815552,1.2128542184829711,0,
122,3,1,2,0,0,2,38369,0.9842211902141571,1.032404750585556,0,
123,3,0,3,0,0,3,57556,1.1756312847137451,1.2284247875213623,0,
124,3,1,2,0,0,2,38344,1.1553926467895508,1.1565591812133789,0,
125,3,0,3,0,1,3,57541,1.1334691047668457,1.149128532409668,0,
126,3,0,3,0,1,3,57586,1.538007140159607,1.6903414487838746,0,
