round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,3,1,2,0,0,2,35730,7.469366073608398,8.105855941772461,0,
2,3,0,3,0,0,3,53905,5.477804660797119,5.533187580108643,0,
3,3,0,3,0,2,3,54185,4.399342060089111,4.761863040924072,0,
4,3,1,2,0,1,2,36010,3.282144784927368,3.876198244094849,0,
5,3,0,3,0,1,3,54340,2.9707343578338623,3.5313022136688232,0,
6,3,1,2,0,0,2,36330,3.6535916328430176,3.8828835487365723,0,
7,3,0,3,0,2,3,54465,2.907484292984009,3.1267025470733643,0,
8,3,0,3,0,0,3,54485,3.7224371433258057,3.7603113651275635,0,
9,3,0,3,0,1,3,54500,2.307772159576416,3.39562349319458,0,
10,3,0,3,1,0,2,36340,2.0847079753875732,3.2701900005340576,0,
11,3,0,3,0,0,3,54490,2.8171050548553467,3.009353590011597,0,
12,3,0,3,0,0,3,54500,1.8738669157028198,2.2013734579086304,0,
13,3,0,3,0,0,3,54495,1.167066216468811,1.6464460611343383,0,
14,3,2,1,0,0,1,18165,1.4029781818389893,1.4029781818389893,0,
15,3,0,3,0,0,3,54495,1.7533581256866455,2.1508675098419188,0,
16,3,0,3,0,1,3,54505,1.557428002357483,1.6509360551834107,0,
17,3,0,3,0,1,3,54490,1.1183667182922363,1.771620273590088,0,
18,3,0,3,0,0,3,54505,1.1233817338943481,1.1626087427139282,0,
19,3,1,2,0,0,2,36330,1.0457713305950165,1.1976993024349212,0,
20,3,0,3,0,0,3,54510,1.1390172243118286,1.5242844820022583,0,
21,3,1,2,0,0,2,36340,1.7400903105735779,1.910735023021698,0,
22,3,0,3,0,0,3,54490,1.319682240486145,1.4229082345962525,0,
23,3,0,3,0,0,3,54500,1.297182559967041,1.3574114799499513,0,
24,3,0,3,0,0,3,54480,1.1503593921661377,1.2686201572418212,0,
25,3,1,2,0,0,2,36335,1.3584453463554382,1.4688479781150818,0,
26,3,0,3,0,2,3,54490,1.7397459745407104,1.8544482946395875,0,
27,3,0,3,0,0,3,54500,1.332427978515625,1.6688098907470703,0,
28,3,0,3,0,0,3,54485,1.77630615234375,1.8584893226623536,0,
29,3,0,3,0,1,3,54495,1.5287362337112427,1.5934542894363404,0,
30,3,0,3,0,0,3,54495,1.100093960762024,1.3805065393447875,0,
31,3,0,3,0,0,3,54485,1.5528950691223145,1.7288826942443847,0,
32,3,0,3,0,1,3,54495,1.8090968132019043,1.9369738578796387,0,
33,3,0,3,0,1,3,54490,1.1876521110534668,1.5761737823486328,0,
34,3,1,2,0,1,2,36310,1.9051801562309265,1.915414273738861,0,
35,3,0,3,0,1,3,54495,1.5354280471801758,1.5776874542236328,0,
36,3,0,3,0,2,3,54495,1.367774248123169,1.3753051280975341,0,
37,3,1,2,0,1,2,36325,2.397344470024109,2.4381059408187866,0,
38,3,0,3,0,0,3,54490,1.6376144886016846,1.6551573276519775,0,
39,3,0,3,0,0,3,54505,1.8336637020111084,2.3684512615203857,0,
40,3,0,3,0,0,3,54500,1.5574320554733276,1.9447726964950562,0,
41,3,1,2,0,0,2,36335,1.343031108379364,1.5261202216148377,0,
42,3,0,3,0,0,3,54495,1.6846492290496826,1.6963890552520753,0,
43,3,0,3,0,1,3,54500,1.8461694717407227,1.87487735748291,0,
44,3,0,3,0,0,3,54485,1.8054490089416504,1.9287615776062013,0,
45,3,0,3,0,1,3,54480,1.393436074256897,1.9422009706497192,0,
46,3,0,3,0,2,3,54505,1.4571837186813354,1.4692081212997437,0,
47,3,1,2,0,0,2,36330,1.3070805668830872,1.602960455417633,0,
48,3,0,3,0,0,3,54485,3.6120262145996094,3.6773488998413084,0,
49,3,0,3,0,0,3,54490,1.3427386283874512,2.752038669586182,0,
50,3,0,3,0,0,3,54490,1.3029148578643799,2.2565725803375245,1,0.9544895519191323
51,3,1,2,0,0,2,36335,1.8899390697479248,2.438536024093628,0,
52,3,0,3,0,1,3,54500,1.9862180948257446,2.037390446662903,0,
