round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,7,2,5,0,0,5,89900,4.268506050109863,4.466707611083985,0,
2,7,1,6,0,0,6,107950,3.9395980834960938,4.4745934009552,1,0.9811145529449724
3,7,0,7,0,0,7,126610,3.8119711875915527,4.190031337738037,0,
4,7,2,5,0,0,5,90795,3.390042304992676,3.54227557182312,0,
5,7,1,6,0,0,6,108990,2.7773057222366333,2.9666577577590942,0,
6,7,0,7,0,0,7,127145,2.4482014179229736,2.5793450832366944,0,
7,7,1,6,1,0,5,90815,1.6711446642875671,2.47064745426178,0,
8,7,0,7,1,0,6,109000,1.5585294961929321,2.4591036796569825,0,
9,7,2,5,0,0,5,90815,1.1010981798171997,1.6821709156036377,0,
10,7,0,7,0,0,7,127140,1.2275320291519165,1.64198739528656,0,
11,7,1,6,1,1,5,90820,1.131843090057373,1.788492739200592,0,
12,7,1,6,0,0,6,108980,0.9619288742542267,1.1533135771751404,0,
13,7,0,7,0,0,7,127165,0.8952210545539856,1.0298490762710573,0,
14,7,0,7,1,0,6,108965,0.8709133863449097,1.2791068315505985,0,
15,7,1,6,0,0,6,109020,0.8075328171253204,1.1316194534301758,0,
16,7,2,5,0,0,5,90800,0.6042112708091736,0.7622159719467163,0,
17,7,1,6,1,0,5,90825,0.7217679619789124,1.026473194360733,0,
18,7,0,7,1,0,6,108790,0.848741352558136,0.9817119598388672,0,
19,7,0,7,0,1,7,126715,0.9080697298049927,0.9932602405548095,0,
20,7,1,6,0,0,6,108715,0.8133695721626282,0.9174535870552063,0,
21,7,0,7,0,0,7,127155,0.7243383526802063,1.2969569444656373,1,0.9464487148974797
22,7,1,6,0,0,6,108905,0.9348057806491852,1.123704969882965,0,
23,7,0,7,0,0,7,125940,1.082793116569519,1.203907346725464,0,
24,7,1,6,0,1,6,108470,1.1134117245674133,1.190079152584076,0,
25,7,1,6,0,1,6,108910,1.0862773060798645,1.1528241038322449,0,
26,7,1,6,0,1,6,108980,1.106741189956665,1.1682820320129395,0,
27,7,1,6,0,1,6,109015,1.2486342787742615,1.4015729427337646,0,
28,7,1,6,0,0,6,108980,1.2147839665412903,1.2886069416999817,0,
29,7,0,7,0,0,7,127165,1.2471303939819336,1.4288864850997924,0,
30,7,2,5,0,0,5,90825,1.2205305099487305,1.2819596529006958,0,
31,7,0,7,0,1,7,127170,1.1479462385177612,1.3582542657852172,0,
32,7,0,7,0,0,7,127160,1.2490595579147339,1.458137607574463,0,
33,7,0,7,0,0,7,127150,1.1564395427703857,1.4224877119064332,0,
34,7,0,7,0,0,7,127160,1.0486152172088623,1.2933947801589967,0,
35,7,1,6,0,2,6,109000,1.1272160410881042,1.2517409920692444,0,
36,7,0,7,0,1,7,127155,0.968208909034729,1.1551578521728516,0,
37,7,0,7,0,0,7,127145,0.9657482504844666,1.0909788846969604,0,
38,7,0,7,0,0,7,127155,0.964885413646698,1.1009292960166932,0,
39,7,1,6,0,0,6,108985,0.8137079477310181,0.9684429466724396,0,
40,7,0,7,0,2,7,127175,0.8545569181442261,0.8883844137191773,0,
41,7,0,7,0,1,7,127130,0.9395690560340881,0.9841953754425049,0,
42,7,1,6,0,1,6,108995,0.7080753445625305,0.7303756773471832,0,
43,7,0,7,0,1,7,127115,0.7857320308685303,0.8477168202400208,0,
44,7,1,6,0,1,6,108975,0.6878230273723602,0.7110818922519684,0,
45,7,0,7,0,1,7,127070,0.7527868747711182,0.888580346107483,0,
46,7,0,7,0,1,7,127175,0.668906569480896,0.9010690331459046,0,
