round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,7,2,5,0,0,5,89900,4.268506050109863,4.466707611083985,0,
2,7,1,6,0,0,6,107950,3.9395980834960938,4.4745934009552,1,0.9811145529449724
3,7,0,7,0,0,7,126610,3.8119711875915527,4.190031337738037,0,
4,7,2,5,0,0,5,90795,3.390042304992676,3.54227557182312,0,
5,7,1,6,0,0,6,108990,2.7773057222366333,2.9666577577590942,0,
6,7,0,7,0,0,7,127145,2.4482014179229736,2.5793450832366944,0,
7,7,1,6,1,0,5,90815,1.6711446642875671,2.47064745426178,0,
8,7,0,7,1,1,6,109000,1.5585294961929321,2.4591036796569825,0,
9,7,2,5,0,0,5,90830,1.3759050369262695,1.7092774152755739,0,
10,7,0,7,0,0,7,127155,1.213881015777588,1.523902487754822,0,
11,7,1,6,0,1,6,109005,1.032751351594925,1.8470174670219421,0,
12,7,1,6,0,0,6,109015,1.0100131928920746,1.1865965127944946,0,
13,7,0,7,0,0,7,127155,0.8228895664215088,1.0374351024627686,0,
14,7,0,7,0,0,7,127120,0.8793540000915527,1.4179231882095338,0,
15,7,1,6,0,0,6,108970,0.7782438397407532,0.9723212122917175,0,
16,7,2,5,0,1,5,90810,0.7028237581253052,0.8424243211746216,0,
17,7,1,6,0,1,6,108980,0.7179894745349884,0.7539890110492706,0,
18,7,0,7,1,0,6,108980,0.745512068271637,0.8522794246673584,0,
19,7,0,7,0,1,7,127105,0.7335472106933594,0.9791488528251648,0,
20,7,1,6,0,1,6,108985,0.786175936460495,0.9508160054683685,0,
21,7,0,7,0,2,7,126960,0.762283980846405,1.065809214115143,1,0.9061406869368103
22,7,1,6,0,1,6,108835,0.9918109774589539,1.1680801510810852,0,
23,7,0,7,0,0,7,126985,0.9475741386413574,1.0929064989089965,0,
24,7,1,6,0,0,6,108960,0.8498560786247253,1.2877597212791443,0,
25,7,1,6,0,1,6,108940,0.9439623951911926,1.2059316039085388,0,
26,7,1,6,0,0,6,108975,0.9416312277317047,1.0504195988178253,0,
27,7,1,6,0,2,6,108985,0.8139562904834747,0.8628208041191101,0,
28,7,1,6,0,3,6,108995,0.8105054795742035,0.9932206273078918,0,
29,7,0,7,0,1,7,127155,0.8719993829727173,1.0681854009628295,0,
30,7,2,5,0,1,5,90835,0.9583539962768555,1.129131555557251,0,
31,7,0,7,0,2,7,127150,0.9982995390892029,1.056671380996704,0,
32,7,0,7,0,1,7,127130,0.929607629776001,1.097040343284607,0,
33,7,0,7,0,2,7,127150,0.9616337418556213,1.04709312915802,0,
34,7,0,7,0,1,7,127065,0.9347506165504456,1.0365589380264282,0,
35,7,1,6,0,2,6,108975,1.0211498737335205,1.0884466767311096,0,
36,7,0,7,0,2,7,127160,0.7941912412643433,1.0209924340248109,0,
37,7,0,7,0,1,7,127140,0.8920615911483765,1.0242207765579223,0,
38,7,0,7,0,2,7,127135,0.9570845365524292,1.0978429317474365,0,
39,7,1,6,0,1,6,108985,0.95203897356987,1.0841822028160095,0,
40,7,0,7,0,4,7,127140,0.8646334409713745,0.984520161151886,0,
41,7,0,7,0,0,7,127155,0.8507289886474609,0.9850770831108093,0,
42,7,1,6,0,1,6,108990,0.8248880207538605,0.9770754873752594,0,
43,7,0,7,0,4,7,127110,0.7503530979156494,0.984358561038971,0,
44,7,1,6,0,3,6,109025,0.6988867223262787,0.7177651524543762,0,
45,7,0,7,0,0,7,127105,0.6974623799324036,0.9703435063362122,0,
46,7,0,7,0,1,7,127080,0.761504054069519,1.0832381963729858,0,
47,7,1,6,0,1,6,109000,0.6742685735225677,0.8699996769428253,0,
48,7,0,7,0,1,7,127145,0.6331230998039246,0.7917207717895509,0,
49,7,3,4,0,0,4,72660,0.6409412026405334,0.8861400246620179,0,
50,7,2,5,0,1,5,90815,0.583032488822937,0.5958956122398377,0,
