round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,7,1,6,0,0,6,869376,3.8524564504623413,4.34329628944397,0,
2,7,0,7,0,0,7,1014272,3.3916282653808594,3.63717474937439,0,
3,7,2,5,0,0,5,724480,2.547454833984375,2.7772729873657225,0,
4,7,0,7,0,1,7,1014272,2.5542385578155518,2.717692184448242,0,
5,7,1,6,0,1,6,869376,2.461093544960022,2.729120373725891,0,
6,7,1,6,0,2,6,869376,1.142198085784912,1.9363129138946533,0,
7,7,1,6,5,1,1,144896,0.598180741071701,1.0677504539489746,0,
8,7,0,7,4,2,3,434688,0.641412079334259,1.6847781419754029,0,
9,7,0,7,3,2,4,579584,0.6308982372283936,0.8602360606193543,0,
10,7,0,7,4,1,3,434688,0.25774112343788147,1.0568366646766663,0,
11,7,0,7,4,2,3,434688,0.213706374168396,0.5625294566154483,1,0.40198447290101347
12,7,0,7,2,2,5,724480,0.20652367174625397,0.5385332196950915,1,0.44888173608784987
13,7,0,7,4,2,3,434688,0.20534957945346832,0.2173083245754242,0,
14,7,1,6,3,2,3,434688,0.17079266905784607,0.21455656737089157,0,
15,7,0,7,2,3,5,724480,0.1834324449300766,0.23587076365947723,0,
16,7,1,6,4,2,2,289792,0.21443744748830795,0.2453802153468132,0,
17,7,1,6,3,3,3,434688,0.15688475221395493,0.1820293813943863,0,
18,7,2,5,2,2,3,434688,0.16645348072052002,0.22665720582008364,0,
19,7,2,5,2,1,3,434688,0.1631363183259964,0.20693497061729432,0,
20,7,3,4,0,3,4,579584,0.2254115417599678,0.23750706613063813,0,
21,7,1,6,0,2,6,869376,0.14044275879859924,0.19414836168289185,0,
22,7,2,5,1,4,4,579584,0.14937183260917664,0.1826724588871002,0,
23,7,1,6,1,2,5,724480,0.14551545679569244,0.1728047877550125,0,
24,7,3,4,0,2,4,579584,0.18477948009967804,0.20305333584547045,0,
25,7,0,7,0,6,7,1014272,0.13693173229694366,0.20889613330364226,0,
26,7,0,7,1,3,6,869376,0.16837607324123383,0.23919829428195954,0,
27,7,2,5,0,3,5,724480,0.15912766754627228,0.16475099921226502,0,
28,7,0,7,0,4,7,1014272,0.1564026176929474,0.1804461121559143,0,
29,7,0,7,0,4,7,1014272,0.14817316830158234,0.19070067405700683,0,
30,7,0,7,0,2,7,1014272,0.18856428563594818,0.19893234074115754,0,
31,7,2,5,0,3,5,724480,0.16238294541835785,0.21152071356773378,0,
32,7,0,7,0,6,7,1014272,0.1614014208316803,0.2092196136713028,0,
33,7,0,7,0,4,7,1014272,0.19572526216506958,0.23146012127399446,0,
34,7,1,6,0,5,6,869376,0.22478076070547104,0.2676722854375839,0,
35,7,0,7,0,6,7,1014272,0.235604926943779,0.383332347869873,0,
36,7,1,6,0,3,6,869376,0.32762353122234344,0.6039789617061615,1,0.9759562967177616
37,7,0,7,0,4,7,1014272,0.6826803684234619,1.284185814857483,0,
38,7,1,6,0,3,6,869376,1.2499130368232727,1.9150575399398804,0,
39,7,0,7,0,5,7,1014272,1.0005089044570923,2.305752086639404,3,0.8757531172449022
40,7,1,6,0,3,6,869376,2.4094643592834473,2.721531391143799,0,
41,7,1,6,0,5,6,869376,1.5138555765151978,2.609415054321289,0,
42,7,3,4,0,1,4,579584,2.4402724504470825,2.61290123462677,0,
43,7,0,7,0,5,7,1014272,1.3261284828186035,1.8892955780029297,0,
44,7,0,7,0,3,7,1014272,1.520548939704895,1.831267786026001,0,
45,7,2,5,0,2,5,724480,1.674890160560608,1.7114467859268188,0,
46,7,1,6,0,4,6,869376,1.6864231824874878,1.7490026354789734,0,
47,7,0,7,0,3,7,1014272,1.1511245965957642,1.2211857557296752,0,
48,7,0,7,0,3,7,1014272,0.9965721964836121,1.0444750547409059,0,
49,7,0,7,0,4,7,1014272,0.910594642162323,0.964854633808136,0,
50,7,0,7,0,0,7,1014272,0.8397529721260071,0.9795927286148072,0,
51,7,0,7,0,0,7,1014272,0.9065803289413452,1.0754690647125245,0,
52,7,1,6,0,1,6,869376,0.880753368139267,1.0615293383598328,0,
53,7,0,7,0,1,7,1014272,0.88447105884552,0.9552136421203614,0,
54,7,1,6,0,4,6,869376,0.8715929090976715,0.9002842009067535,0,
55,7,1,6,0,3,6,869376,0.8343480825424194,0.910296767950058,0,
56,7,1,6,0,2,6,869376,0.7377340495586395,0.8513714671134949,0,
57,7,1,6,0,1,6,869376,0.7838862538337708,0.9409123063087463,0,
58,7,0,7,0,2,7,1014272,0.7245936989784241,0.9489337205886842,0,
59,7,1,6,0,3,6,869376,0.7298774123191833,0.875596433877945,0,
60,7,2,5,0,0,5,724480,0.7856159806251526,0.852630364894867,0,
61,7,1,6,0,1,6,869376,0.7784847617149353,1.0539050698280334,0,
62,7,0,7,0,2,7,1014272,0.8604056239128113,1.1318287611007691,0,
63,7,0,7,0,4,7,1014272,0.8542593717575073,0.9977803587913513,0,
64,7,2,5,0,2,5,724480,0.8108928799629211,1.062650489807129,0,
65,7,0,7,0,3,7,1014272,0.8279610276222229,1.0655680060386659,0,
66,7,0,7,0,2,7,1014272,0.7654253244400024,0.9396177291870117,0,
67,7,1,6,0,2,6,869376,0.8828148245811462,0.9735738635063171,0,
68,7,0,7,0,2,7,1014272,0.8438524007797241,1.0612428903579714,0,
69,7,0,7,0,3,7,1014272,0.7877355813980103,0.9379159688949585,0,
70,7,1,6,0,1,6,869376,0.8780975639820099,1.2204842567443848,0,
71,7,0,7,0,2,7,1014272,0.8604269623756409,1.2685076951980592,0,
72,7,0,7,0,2,7,1014272,0.890346109867096,1.0442586898803712,0,
73,7,1,6,0,2,6,869376,0.8363192677497864,0.9356883466243744,0,
74,7,1,6,0,2,6,869376,0.8769809901714325,1.1723789870738983,0,
75,7,0,7,0,3,7,1014272,0.7856218814849854,1.150449597835541,0,
76,7,1,6,0,3,6,869376,0.7834130823612213,1.0292973518371582,0,
77,7,0,7,0,2,7,1014272,0.8716326355934143,0.9554787039756775,0,
