round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,7,2,5,0,0,5,89900,4.268506050109863,4.466707611083985,0,
2,7,1,6,0,0,6,107950,3.9395980834960938,4.4745934009552,1,0.9811145529449724
3,7,0,7,0,0,7,126610,3.8119711875915527,4.190031337738037,0,
4,7,2,5,0,0,5,90795,3.390042304992676,3.54227557182312,0,
5,7,1,6,0,0,6,108990,2.7773057222366333,2.9666577577590942,0,
6,7,0,7,0,0,7,127145,2.4482014179229736,2.5793450832366944,0,
7,7,1,6,1,0,5,90815,1.6711446642875671,2.47064745426178,0,
8,7,0,7,1,0,6,109000,1.5585294961929321,2.4591036796569825,0,
9,7,2,5,0,0,5,90815,1.1010981798171997,1.6821709156036377,0,
10,7,0,7,0,0,7,127140,1.2275320291519165,1.64198739528656,0,
11,7,1,6,1,0,5,90820,1.131843090057373,1.788492739200592,0,
12,7,1,6,1,0,5,90820,0.9912272095680237,1.2417755722999573,0,
13,7,0,7,0,0,7,127165,0.9737057685852051,1.3176918268203737,0,
14,7,0,7,1,0,6,108980,0.7989253401756287,1.3430549144744877,0,
15,7,1,6,0,0,6,108990,0.8659100234508514,1.0974462032318115,0,
16,7,2,5,0,0,5,90765,0.7175800204277039,0.923628306388855,0,
17,7,1,6,1,0,5,90800,0.7076239585876465,1.1333708763122559,0,
18,7,0,7,1,0,6,108990,0.7663243412971497,0.9131807446479798,0,
19,7,0,7,0,0,7,127160,0.8355698585510254,0.8725811958312988,0,
20,7,1,6,0,0,6,108800,0.8269129991531372,0.9411937594413757,0,
21,7,0,7,0,0,7,127135,0.827187180519104,1.0344079256057739,1,0.9913127348055167
22,7,1,6,0,0,6,108860,0.9453451335430145,1.1857771277427673,0,
23,7,0,7,0,0,7,127160,0.9444335103034973,1.182059144973755,0,
24,7,1,6,0,0,6,108955,1.010291039943695,1.0903672575950623,0,
25,7,1,6,0,0,6,108995,0.9465427994728088,1.0223074853420258,0,
26,7,1,6,0,0,6,108995,1.125117003917694,1.2287667989730835,0,
27,7,1,6,0,0,6,108995,1.0986943244934082,1.35391503572464,0,
28,7,1,6,0,0,6,108980,0.9603392779827118,1.1749539375305176,0,
29,7,0,7,0,0,7,127160,0.9313352704048157,0.9787551641464234,0,
30,7,2,5,0,0,5,90825,0.8054637908935547,0.9675801992416382,0,
31,7,0,7,0,0,7,127145,0.8713688850402832,0.9873675465583802,0,
32,7,0,7,0,0,7,127165,0.9046103954315186,1.0059864521026611,0,
33,7,0,7,0,0,7,127160,0.9184370040893555,1.0405481338500977,0,
34,7,0,7,0,0,7,127090,0.914826512336731,1.2192732334136962,0,
35,7,1,6,0,0,6,108995,0.8968101441860199,1.0056919753551483,0,
36,7,0,7,0,0,7,127150,0.8675412535667419,0.9329879999160766,0,
37,7,0,7,0,0,7,127155,0.8596604466438293,0.9955984115600586,0,
38,7,0,7,0,0,7,127105,0.7523945569992065,0.8646746635437013,0,
39,7,1,6,0,0,6,108965,1.0233329832553864,1.1453775763511658,0,
40,7,0,7,0,0,7,127145,0.904607355594635,1.1164748668670654,0,
41,7,0,7,0,0,7,127150,0.866269588470459,1.0798492074012758,0,
42,7,1,6,0,0,6,108990,0.8902509212493896,0.9990387260913849,0,
43,7,0,7,0,0,7,127160,0.7592878341674805,0.8622969508171082,0,
44,7,1,6,0,0,6,108990,0.6565597355365753,0.7352485358715057,0,
45,7,0,7,0,0,7,127155,0.7198418974876404,0.8730279207229615,0,
46,7,0,7,0,0,7,127145,0.6323683857917786,0.7931769609451295,0,
