round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,7,0,7,0,0,7,125870,3.924330711364746,4.269474029541016,0,
2,7,0,7,0,0,7,126910,4.139474391937256,4.463694477081299,0,
3,7,0,7,0,0,7,126595,3.5894556045532227,4.024837398529053,0,
4,7,1,6,0,1,6,108625,3.0721309185028076,3.1588640213012695,0,
5,7,0,7,0,3,7,126785,2.747354745864868,2.873004102706909,0,
6,7,2,5,0,2,5,90825,2.1674234867095947,2.565248727798462,0,
7,7,2,5,0,3,5,90820,2.3414793014526367,2.450503969192505,0,
8,7,0,7,0,2,7,127150,1.6856331825256348,1.8668268203735352,0,
9,7,1,6,0,0,6,108980,1.1968991160392761,1.3785067796707153,0,
10,7,0,7,0,2,7,126965,1.222292423248291,2.1658568382263184,0,
11,7,0,7,0,2,7,127050,0.9931241869926453,1.5730869054794314,0,
12,7,1,6,0,0,6,108995,0.7937709391117096,0.9288103878498077,0,
13,7,1,6,0,0,6,108975,0.8609175384044647,0.9368840754032135,0,
14,7,1,6,0,0,6,108985,0.802271157503128,1.0936228334903717,0,
15,7,0,7,0,1,7,127145,0.9417667388916016,1.0089179873466492,0,
16,7,0,7,0,0,7,127175,0.9413994550704956,1.1389653325080873,0,
17,7,0,7,0,0,7,127050,0.8405120968818665,1.208556866645813,0,
18,7,0,7,0,0,7,127150,0.9092332124710083,1.0500590324401855,0,
19,7,1,6,0,0,6,108990,1.12948739528656,1.286953628063202,0,
20,7,0,7,0,0,7,127115,0.9764223694801331,1.231426763534546,0,
21,7,1,6,0,1,6,109000,1.0380862355232239,1.2348694801330566,0,
22,7,0,7,0,0,7,127155,1.0117614269256592,1.2144818782806397,0,
23,7,1,6,0,0,6,108910,1.0133939683437347,1.4483951330184937,0,
24,7,0,7,0,1,7,127160,1.0508109331130981,1.3092916727066042,0,
25,7,1,6,0,1,6,108980,1.0640403926372528,1.2539921402931213,0,
26,7,2,5,0,1,5,90775,0.9491415619850159,1.0491551876068115,0,
27,7,1,6,0,0,6,108985,0.7781058549880981,1.0682147145271301,0,
28,7,1,6,0,1,6,109000,0.9796133637428284,1.3743165135383606,0,
29,7,3,4,0,1,4,72660,0.9027566611766815,0.9664345443248749,0,
30,7,0,7,0,0,7,127160,0.794244647026062,1.0335263729095459,0,
31,7,0,7,0,0,7,127150,0.9078983068466187,1.104672646522522,0,
32,7,0,7,0,1,7,127140,0.8325281739234924,1.0108848929405214,0,
33,7,1,6,0,0,6,108995,0.8081162571907043,1.165879726409912,0,
34,7,1,6,0,1,6,109005,0.9176985323429108,1.15265354514122,0,
35,7,0,7,0,0,7,127155,0.8253189921379089,1.0104963779449463,0,
36,7,1,6,0,0,6,108985,1.058774709701538,1.2253084778785706,0,
37,7,0,7,0,0,7,127140,0.8117799758911133,1.0111009240150453,0,
38,7,3,4,0,0,4,72665,0.9863463938236237,1.1297508001327514,0,
39,7,1,6,0,0,6,108995,0.9840108454227448,1.2804215550422668,0,
40,7,0,7,0,0,7,127150,0.9110164046287537,1.1728227734565737,0,
41,7,0,7,0,0,7,127160,0.9198930263519287,1.1499849081039428,0,
42,7,0,7,0,0,7,127145,0.7859969139099121,0.9999432444572449,0,
43,7,0,7,0,0,7,127155,1.0894461870193481,1.2638110160827636,0,
44,7,2,5,0,0,5,90805,0.8558178544044495,1.1803329467773438,0,
45,7,1,6,0,0,6,109000,0.8474683463573456,1.1671913266181946,0,
46,7,2,5,0,0,5,90820,0.7644859552383423,0.9339808702468873,0,
47,7,1,6,0,1,6,108985,0.9232093095779419,1.2338520884513855,0,
48,7,0,7,0,1,7,127160,0.8318719267845154,0.9554854273796082,0,
49,7,0,7,0,1,7,127135,0.8738370537757874,1.084517765045166,0,
50,7,0,7,0,0,7,127155,0.900481104850769,1.0644047498703002,0,
51,7,2,5,0,1,5,90800,0.8489586710929871,1.225505781173706,0,
52,7,0,7,0,1,7,127150,0.9335866570472717,1.1429556131362915,0,
53,7,1,6,0,0,6,108985,0.9257916212081909,1.1791965961456299,0,
54,7,1,6,0,0,6,108975,0.7815300524234772,0.9146112203598022,0,
55,7,1,6,0,1,6,108985,0.8058209419250488,1.1360418796539307,0,
56,7,1,6,0,1,6,108990,0.8658317029476166,1.293551355600357,0,
57,7,0,7,0,1,7,127155,0.8551068305969238,1.128248679637909,0,
58,7,0,7,0,1,7,127130,0.9025764465332031,1.2179670095443726,0,
59,7,1,6,0,0,6,108980,0.8366010785102844,1.2095175385475159,1,0.955202282947543
60,7,1,6,0,0,6,109005,0.8673617839813232,1.1796359419822693,0,
61,7,1,6,0,0,6,108990,0.782100260257721,1.0461964011192322,0,
62,7,1,6,0,0,6,108970,0.8230732381343842,0.8881442546844482,0,
