round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,7,2,5,0,0,5,94840,4.078230857849121,4.2993950843811035,0,
2,7,1,6,0,0,6,114152,4.431398153305054,4.6754820346832275,0,
3,7,0,7,0,0,7,133604,3.94160532951355,4.102250099182129,0,
4,7,2,5,0,0,5,96120,3.309370279312134,3.4602370738983153,0,
5,7,0,7,0,1,7,134554,2.6583964824676514,2.809933233261108,0,
6,7,0,7,0,1,7,134619,1.6953648328781128,1.9812150716781618,0,
7,7,1,6,1,1,5,96155,1.1744303703308105,1.3538517951965332,0,
8,7,0,7,0,0,7,134729,1.4308836460113525,1.5776991844177246,0,
9,7,0,7,0,0,7,134669,1.5305250883102417,1.7395504713058472,0,
10,7,3,4,0,0,4,76943,1.3945015668869019,1.6992513298988343,0,
11,7,0,7,2,0,5,96235,1.1795690059661865,1.4494692325592042,0,
12,7,3,4,1,0,3,57696,0.9366993606090546,1.195249605178833,0,
13,7,0,7,0,0,7,134564,1.134869933128357,1.4262861490249634,0,
14,7,1,6,0,0,6,115382,1.1519590616226196,1.2987618446350098,0,
15,7,1,6,0,0,6,115332,1.210741937160492,1.3849364519119263,0,
16,7,0,7,0,0,7,134519,1.0540496110916138,1.2035743713378906,0,
17,7,0,7,0,0,7,134549,0.9436435699462891,1.142414665222168,0,
18,7,1,6,0,0,6,115297,0.9676843881607056,1.1784643530845642,0,
19,7,1,6,0,0,6,115312,0.9529824554920197,1.303398072719574,0,
20,7,0,7,0,0,7,134389,0.9618617296218872,1.103789782524109,0,
21,7,0,7,0,0,7,134484,1.0235583782196045,1.1512694597244262,1,0.9269288879495269
22,7,1,6,0,0,6,115317,0.7607674300670624,0.9879133105278015,1,0.8851375840688595
23,7,2,5,0,0,5,96090,0.8444743156433105,1.2753687620162963,0,
24,7,0,7,0,0,7,134549,1.2559409141540527,1.5178466320037842,0,
25,7,1,6,0,1,6,115307,1.3286578059196472,1.5686545968055725,0,
26,7,0,7,0,1,7,134554,1.4043443202972412,1.6350241661071778,0,
27,7,2,5,0,1,5,96085,1.4966187477111816,1.7347717523574828,0,
28,7,1,6,0,1,6,115307,1.4971322417259216,1.699000895023346,0,
29,7,1,6,0,2,6,115322,1.3915624022483826,1.6756479740142822,0,
30,7,0,7,0,0,7,134569,1.379401683807373,1.604846477508545,0,
31,7,0,7,0,1,7,134644,1.5680564641952515,1.734093451499939,0,
32,7,1,6,0,0,6,115392,1.6511436700820923,1.743919312953949,0,
33,7,0,7,0,2,7,134684,1.36945641040802,1.5607179641723634,0,
34,7,0,7,0,2,7,134674,0.9968616366386414,1.1977149963378908,0,
35,7,3,4,0,0,4,76968,1.352882444858551,1.4941813468933105,0,
36,7,0,7,0,2,7,134539,0.8859149813652039,1.1468176126480103,0,
37,7,0,7,0,1,7,134649,0.7918722033500671,0.9154362201690674,0,
38,7,0,7,0,1,7,134634,0.8552759885787964,1.3414282083511353,0,
39,7,1,6,0,0,6,115327,0.8287612497806549,1.0325272679328918,0,
40,7,1,6,0,2,6,115322,0.8606812059879303,1.134444773197174,0,
41,7,1,6,0,1,6,115362,0.7673102915287018,1.0135950446128845,0,
42,7,1,6,0,2,6,115292,0.8805695176124573,1.0869272351264954,0,
43,7,1,6,0,1,6,115257,0.7641594409942627,0.9930629432201385,0,
44,7,0,7,0,1,7,134449,0.724035918712616,0.9973463654518128,0,
45,7,1,6,0,0,6,115262,0.9236374497413635,1.0282123684883118,0,
46,7,2,5,0,0,5,96090,0.7746219038963318,0.943590235710144,0,
47,7,1,6,0,0,6,115177,0.8419327735900879,1.0702967047691345,0,
48,7,0,7,0,1,7,134479,0.7298819422721863,0.8985863208770752,0,
49,7,0,7,0,0,7,134529,0.743971049785614,1.1308391094207764,0,
50,7,3,4,0,0,4,76888,0.8757869601249695,0.8875129401683808,0,
51,7,2,5,0,0,5,95990,0.6941526532173157,0.7762418746948242,0,
52,7,0,7,0,0,7,134424,0.8492683172225952,0.9754114985466004,0,
53,7,2,5,0,0,5,95970,0.7546098232269287,1.1214085340499877,0,
54,7,1,6,0,1,6,115287,0.9581334888935089,1.3049434423446655,0,
55,7,0,7,0,0,7,134484,0.858420729637146,1.1335638999938964,0,
56,7,1,6,0,0,6,115192,0.9072433412075043,1.1648949980735779,0,
57,7,1,6,0,0,6,115182,0.8226642310619354,1.040488451719284,0,
58,7,1,6,0,0,6,115232,0.8424432277679443,1.0267210602760315,0,
59,7,0,7,0,1,7,134419,0.9220439195632935,1.2006268501281738,0,
60,7,1,6,0,0,6,115297,0.8030423223972321,1.0444723069667816,0,
61,7,0,7,0,1,7,134464,0.7903386950492859,1.1371497154235841,0,
62,7,2,5,0,1,5,96010,0.8151500225067139,1.4698376417160035,1,0.8424259477617195
63,7,2,5,0,0,5,96025,0.772850751876831,1.1991345167160035,0,
64,7,0,7,0,2,7,134489,0.9604265093803406,1.2402221202850343,0,
65,7,2,5,0,1,5,96065,1.0824170112609863,1.275620174407959,0,
66,7,1,6,0,1,6,115242,0.8702642321586609,0.9790610373020172,0,
67,7,0,7,0,1,7,134434,0.8676565885543823,1.078393030166626,0,
68,7,0,7,0,0,7,134424,0.7875218987464905,1.0855286359786986,0,
69,7,0,7,0,0,7,134469,0.9797149300575256,1.3640721797943118,0,
70,7,2,5,0,1,5,96010,0.9141194224357605,1.0271770715713502,0,
71,7,1,6,0,0,6,115227,0.8657470941543579,1.0017923712730408,0,
72,7,2,5,0,0,5,96090,0.987367570400238,1.0780055046081543,0,
73,7,1,6,0,1,6,115297,0.8641936480998993,0.9534215927124023,0,
74,7,1,6,0,1,6,115237,0.8486372232437134,1.0070692598819733,0,
75,7,1,6,0,0,6,115262,0.8348800241947174,1.132557988166809,0,
76,7,0,7,0,3,7,134474,0.9123310446739197,1.2360977411270142,0,
77,7,0,7,0,2,7,134409,0.8660492300987244,0.9112351655960083,0,
78,7,0,7,0,1,7,134474,0.951352059841156,1.1193673610687256,0,
79,7,0,7,0,1,7,134509,0.9822261333465576,1.211007332801819,0,
80,7,3,4,0,0,4,76858,0.9740576148033142,1.0781167209148408,0,
81,7,1,6,0,0,6,115237,0.9322563707828522,0.96384397149086,0,
82,7,0,7,0,1,7,134439,0.962235689163208,1.0339490175247192,0,
83,7,0,7,0,2,7,134454,0.8102983832359314,0.9640209078788757,0,
84,7,2,5,0,1,5,96070,0.9306730031967163,0.9590758323669434,0,
85,7,0,7,0,0,7,134504,0.9040060043334961,1.0363230824470522,0,
86,7,1,6,0,0,6,115247,0.9577617943286896,1.0370473265647888,0,
87,7,1,6,0,0,6,115317,1.0807287693023682,1.1636926531791687,0,
88,7,0,7,0,0,7,134509,0.870286762714386,1.082909393310547,0,
89,7,0,7,0,0,7,134494,0.9226875305175781,1.1163105249404908,0,
90,7,0,7,0,0,7,134514,0.9543929100036621,1.0330380916595459,0,
91,7,1,6,0,0,6,115257,1.0400776863098145,1.190316081047058,0,
92,7,0,7,0,0,7,134474,0.9047633409500122,0.9860876560211183,0,
93,7,0,7,0,1,7,134539,0.9377572536468506,1.1458430290222168,0,
94,7,0,7,0,1,7,134439,0.9960976839065552,1.0965612411499024,0,
95,7,1,6,0,1,6,115242,0.9025862812995911,1.1979564428329468,0,
96,7,0,7,0,0,7,134479,0.9651046991348267,1.0970336675643921,0,
97,7,0,7,0,0,7,134529,1.0019952058792114,1.1045077085494996,0,
98,7,1,6,0,0,6,115282,1.04514479637146,1.0941633582115173,0,
99,7,2,5,0,0,5,96065,1.018293857574463,1.0368793964385987,0,
100,7,0,7,0,0,7,134479,1.0216848850250244,1.0942316770553588,0,
101,7,0,7,0,0,7,134529,0.960870087146759,1.2272391319274902,0,
102,7,0,7,0,2,7,134514,1.0997151136398315,1.249075984954834,0,
103,7,0,7,0,0,7,134529,0.9777730107307434,1.076917839050293,0,
104,7,1,6,0,1,6,115232,0.9432659149169922,1.0622184872627258,0,
105,7,1,6,0,1,6,115277,0.9939029216766357,1.1416178941726685,0,
106,7,1,6,0,2,6,115322,0.968786358833313,1.0688050985336304,0,
107,7,0,7,0,1,7,134479,0.9504702687263489,1.0367471694946289,0,
108,7,0,7,0,0,7,134519,0.9763143658638,1.072313618659973,0,
109,7,1,6,0,2,6,115277,0.9182000160217285,1.0028223097324371,0,
110,7,1,6,0,1,6,115302,1.0216910243034363,1.119221568107605,0,
111,7,0,7,0,0,7,134489,1.0981123447418213,1.2187832832336427,0,
112,7,1,6,0,0,6,115287,0.9666498601436615,1.0768612027168274,0,
113,7,1,6,0,0,6,115332,0.9086163341999054,1.144260287284851,0,
114,7,0,7,0,2,7,134524,0.8774614334106445,1.1857336044311524,0,
115,7,1,6,0,0,6,115292,1.0499702095985413,1.1549989581108093,0,
116,7,0,7,0,0,7,134529,1.0281919240951538,1.1012589454650878,0,
117,7,0,7,0,0,7,134479,1.0006400346755981,1.1343153238296508,0,
118,7,0,7,0,0,7,134509,1.0166254043579102,1.1530608415603638,0,
119,7,0,7,0,0,7,134534,0.974998950958252,1.040000081062317,0,
120,7,0,7,0,1,7,134494,1.0224370956420898,1.1361323833465578,0,
121,7,1,6,0,1,6,115292,0.9524258077144623,1.0633268356323242,0,
122,7,1,6,0,0,6,115292,0.9844857454299927,1.1057268381118774,0,
123,7,0,7,0,0,7,134539,0.8608143925666809,0.9618563413619995,0,
124,7,0,7,0,1,7,134469,0.9848300814628601,1.0387908458709718,0,
125,7,4,3,0,0,3,57596,0.9714932441711426,1.1031033515930175,0,
126,7,0,7,0,1,7,134529,0.8910264372825623,1.0834492921829224,0,
127,7,1,6,0,0,6,115287,0.9316876232624054,1.069336712360382,0,
128,7,0,7,0,1,7,134524,1.0243291854858398,1.0761298656463623,0,
129,7,0,7,0,1,7,134479,1.006896734237671,1.0412692308425904,0,
130,7,1,6,0,0,6,115262,1.1019930243492126,1.2075016498565674,0,
131,7,1,6,0,1,6,115312,0.94721519947052,1.0643637776374817,0,
132,7,1,6,0,0,6,115292,1.0059320628643036,1.0679587125778198,0,
133,7,2,5,0,0,5,96030,0.9915766716003418,1.058320116996765,0,
134,7,0,7,0,1,7,134499,0.9858302474021912,1.0682478427886963,0,
135,7,0,7,0,2,7,134464,1.0102092027664185,1.0929023265838622,0,
136,7,2,5,0,0,5,96055,0.9688125252723694,1.1819178581237793,0,
137,7,0,7,0,1,7,134444,0.996842086315155,1.141910219192505,0,
138,7,1,6,0,0,6,115252,0.9447923600673676,0.9902670979499817,0,
139,7,1,6,0,0,6,115272,0.983551561832428,1.2407780289649963,0,
140,7,4,3,0,0,3,57636,0.9302147030830383,0.9310071587562561,0,
141,7,1,6,0,0,6,115272,0.9914709329605103,1.184882640838623,0,
