round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,7,1,6,0,0,6,107830,4.165744781494141,4.4454262256622314,0,
2,7,0,7,0,0,7,126125,3.682138442993164,4.213802623748779,0,
3,7,0,7,0,0,7,127085,3.743049144744873,4.047805976867676,0,
4,7,1,6,0,0,6,108965,3.266290783882141,3.426378607749939,0,
5,7,2,5,0,1,5,90835,2.7325737476348877,2.91688928604126,0,
6,7,1,6,0,0,6,108695,2.3838772773742676,2.489888072013855,0,
7,7,2,5,0,1,5,90845,2.290196418762207,2.5320384025573732,0,
8,7,1,6,0,1,6,108835,1.9186034202575684,2.5259673595428467,0,
9,7,2,5,1,0,4,72670,1.3109689950942993,1.6838321685791016,0,
10,7,1,6,1,1,5,90835,1.0387404561042786,1.1027029156684875,0,
11,7,0,7,1,1,6,108990,1.0097793340682983,1.5003476381301883,0,
12,7,1,6,2,0,4,72660,0.8967096507549286,1.0961349606513977,0,
13,7,0,7,3,0,4,72665,0.768225908279419,0.8101817011833191,0,
14,7,2,5,3,0,2,36335,0.7735788822174072,0.9220197558403015,0,
15,7,1,6,1,0,5,90820,0.7855493128299713,0.8574171662330627,0,
16,7,1,6,1,0,5,90815,0.6635279357433319,0.7461990416049957,0,
17,7,1,6,2,0,4,72660,0.704088032245636,0.7843083441257477,0,
18,7,0,7,3,0,4,72670,0.5528881549835205,0.7784189343452455,0,
19,7,0,7,0,0,7,127135,0.6243568062782288,0.7459674835205078,0,
20,7,1,6,0,0,6,108895,0.6890794038772583,0.7219651341438293,0,
21,7,0,7,1,1,6,108785,0.5906574726104736,0.6404633760452271,0,
22,7,1,6,1,1,5,90500,0.680593729019165,0.8142125606536865,0,
23,7,0,7,0,0,7,127105,0.7323319315910339,0.8773063778877258,0,
24,7,0,7,0,2,7,126905,0.7262610197067261,0.8115934848785401,0,
25,7,1,6,0,1,6,108990,0.6980800032615662,0.7612923085689545,0,
26,7,0,7,0,0,7,126955,0.6664667129516602,0.749383270740509,0,
27,7,0,7,0,1,7,126380,0.6722725629806519,0.7557722330093384,0,
28,7,0,7,0,1,7,126770,0.6522938013076782,0.8091596841812134,0,
29,7,0,7,0,0,7,127140,0.6346884965896606,0.7634035468101501,0,
30,7,0,7,0,2,7,126800,0.67283695936203,0.7477481245994568,0,
31,7,1,6,0,1,6,108795,0.6075621545314789,0.7374368011951447,0,
32,7,2,5,0,0,5,90360,0.5567058324813843,0.6954477548599243,0,
33,7,3,4,0,0,4,72285,0.6098544299602509,0.6814848959445954,0,
34,7,0,7,0,0,7,126385,0.5437202453613281,0.735842776298523,0,
35,7,3,4,0,1,4,72295,0.6165391206741333,0.8784001827239991,0,
36,7,0,7,0,2,7,126200,0.5900043249130249,0.6381042242050171,0,
37,7,1,6,0,0,6,109020,0.7015323042869568,0.9670437574386597,0,
38,7,1,6,0,0,6,108915,0.5178598165512085,0.5957018435001373,0,
39,7,1,6,0,1,6,108695,0.5523330271244049,0.6264080703258514,0,
40,7,0,7,0,0,7,127145,0.5230112671852112,0.6210639953613282,0,
41,7,1,6,0,1,6,108570,0.4751792699098587,0.5689786374568939,0,
42,7,1,6,0,0,6,108995,0.5687336623668671,0.6615324020385742,0,
43,7,0,7,0,0,7,126880,0.5810708403587341,0.8915024280548097,0,
44,7,0,7,0,0,7,126475,0.6675419211387634,0.7024415612220765,0,
45,7,0,7,0,0,7,126850,0.5860496759414673,0.8062221884727478,0,
46,7,1,6,0,0,6,108890,0.5070586055517197,0.6080526113510132,0,
47,7,0,7,0,0,7,126795,0.5940027236938477,0.7647351264953614,0,
48,7,0,7,0,0,7,126970,0.5601431131362915,0.7286575078964234,0,
49,7,0,7,0,2,7,126800,0.581457793712616,0.7048270225524903,0,
50,7,1,6,0,0,6,108825,0.6225036680698395,0.7165198922157288,0,
