round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,7,1,6,0,0,6,920088,3.964301109313965,4.452369451522827,0,
2,7,0,7,0,0,7,1073436,3.438308000564575,3.846248197555542,0,
3,7,2,5,0,2,5,766740,2.78847599029541,3.07320351600647,0,
4,7,0,7,0,2,7,1073436,2.0366759300231934,2.3304795742034914,0,
5,7,1,6,2,1,4,613392,0.967769980430603,1.2365880012512207,0,
6,7,1,6,2,0,4,613392,0.8720966577529907,1.2069448828697205,0,
7,7,1,6,0,1,6,920088,1.093892902135849,1.7583916783332825,0,
8,7,0,7,0,1,7,1073436,2.0529747009277344,2.3251444339752196,0,
9,7,0,7,0,0,7,1073436,1.7389509677886963,2.2149516105651856,0,
10,7,0,7,0,0,7,1073436,2.225639820098877,2.4439605712890624,0,
11,7,0,7,0,0,7,1073436,2.1882669925689697,2.3199791431427004,0,
12,7,0,7,0,0,7,1073436,1.8185216188430786,2.1908915042877197,0,
13,7,0,7,0,0,7,1073436,1.8135566711425781,1.965011978149414,0,
14,7,1,6,0,1,6,920088,1.4982861876487732,1.7968023419380188,0,
15,7,0,7,0,1,7,1073436,1.584280252456665,1.7144290924072265,0,
16,7,1,6,0,0,6,920088,1.5816147923469543,1.6484930515289307,0,
17,7,1,6,0,1,6,920088,1.5291019678115845,1.7148060202598572,0,
18,7,2,5,0,1,5,766740,1.3253626823425293,1.3644140720367433,0,
19,7,2,5,0,1,5,766740,1.0399583578109741,1.1080816268920899,0,
20,7,3,4,0,0,4,613392,0.9455792605876923,1.0067254662513734,0,
21,7,1,6,0,1,6,920088,0.8453689515590668,0.9162288010120392,0,
22,7,2,5,0,0,5,766740,0.8725624680519104,1.0051829099655152,0,
23,7,1,6,0,0,6,920088,0.843610405921936,0.946934849023819,0,
24,7,3,4,0,0,4,613392,0.8177682757377625,0.9006067037582398,0,
25,7,0,7,0,1,7,1073436,0.8861472606658936,1.1060360670089722,0,
26,7,0,7,0,0,7,1073436,0.8869746327400208,1.0593684434890749,0,
27,7,2,5,0,0,5,766740,0.8296077251434326,0.9450157642364502,0,
28,7,0,7,0,0,7,1073436,0.8731780052185059,0.9776284575462342,0,
29,7,0,7,0,0,7,1073436,0.8425610065460205,1.075036644935608,0,
30,7,0,7,0,0,7,1073436,0.8739593029022217,0.9686193823814392,0,
31,7,2,5,0,0,5,766740,0.8147914409637451,0.8507662177085876,0,
32,7,0,7,0,1,7,1073436,0.8136325478553772,0.9332729578018188,0,
33,7,0,7,0,1,7,1073436,0.8328646421432495,1.0379029393196106,0,
34,7,1,6,0,0,6,920088,0.9324952065944672,1.145252764225006,0,
35,7,0,7,0,0,7,1073436,0.8880532383918762,1.0048347473144532,0,
36,7,1,6,0,0,6,920088,0.9480805993080139,1.0625056326389313,0,
37,7,0,7,0,1,7,1073436,0.8792288899421692,1.1129436492919922,0,
38,7,1,6,0,1,6,920088,0.8517235517501831,1.157358169555664,0,
39,7,0,7,0,0,7,1073436,1.0803825855255127,1.1999237537384033,0,
40,7,1,6,0,0,6,920088,1.0691326260566711,1.2558603286743164,0,
41,7,1,6,0,1,6,920088,0.8984657526016235,1.1272127628326416,0,
42,7,3,4,0,0,4,613392,1.0998650789260864,1.1123641848564148,0,
43,7,0,7,0,0,7,1073436,1.0872502326965332,1.2248653411865236,0,
44,7,0,7,0,1,7,1073436,0.9233566522598267,1.2521191120147706,0,
45,7,2,5,0,1,5,766740,0.9845554828643799,1.0676388263702392,0,
46,7,1,6,0,1,6,920088,0.8666803240776062,0.9397084414958954,0,
47,7,0,7,0,1,7,1073436,1.0060312747955322,1.4733657598495484,0,
48,7,0,7,0,1,7,1073436,0.9496076107025146,1.1606278896331788,0,
49,7,0,7,0,2,7,1073436,0.8901933431625366,1.1198160648345947,0,
50,7,0,7,0,0,7,1073436,0.8182848691940308,1.0611522674560547,0,
51,7,0,7,0,1,7,1073436,0.990951418876648,1.2085699558258058,0,
52,7,1,6,0,0,6,920088,1.078177809715271,1.2282002568244934,0,
53,7,0,7,0,0,7,1073436,1.0370798110961914,1.2242928504943849,0,
54,7,1,6,0,0,6,920088,1.0267574191093445,1.1777872443199158,0,
55,7,1,6,0,0,6,920088,1.0782315135002136,1.1796712279319763,0,
56,7,1,6,0,0,6,920088,0.8457142412662506,0.9425098299980164,0,
57,7,1,6,0,0,6,920088,0.9306912422180176,1.2521675825119019,0,
58,7,0,7,0,0,7,1073436,0.8228768110275269,1.1772868871688844,0,
59,7,1,6,0,0,6,920088,0.9171438217163086,1.0772318243980408,0,
60,7,2,5,0,1,5,766740,0.9539487957954407,1.038168716430664,0,
61,7,1,6,0,0,6,920088,0.856353759765625,1.2853233814239502,0,
62,7,0,7,0,0,7,1073436,0.8887977600097656,1.1979249954223634,0,
63,7,0,7,0,0,7,1073436,0.8780307769775391,1.0545274376869203,0,
64,7,2,5,0,0,5,766740,0.9255419373512268,1.284518051147461,0,
65,7,0,7,0,1,7,1073436,0.8985670804977417,1.2986474514007569,0,
66,7,0,7,0,1,7,1073436,0.8956423997879028,1.0795767784118653,0,
67,7,1,6,0,2,6,920088,0.9916651248931885,1.1271933317184448,0,
68,7,0,7,0,0,7,1073436,0.8337333798408508,1.2776920318603517,0,
69,7,0,7,0,3,7,1073436,0.8554474115371704,1.0320810794830322,0,
70,7,1,6,0,1,6,920088,1.0279864370822906,1.33353590965271,0,
71,7,0,7,0,1,7,1073436,1.0395148992538452,1.2206877231597901,0,
72,7,0,7,0,0,7,1073436,0.9560561776161194,1.2300095558166504,0,
73,7,1,6,0,0,6,920088,0.8940318524837494,1.2208223938941956,0,
74,7,1,6,0,0,6,920088,1.0507399439811707,1.3023731708526611,0,
75,7,0,7,0,0,7,1073436,0.9410989284515381,1.3222990036010742,0,
76,7,1,6,0,0,6,920088,0.986253023147583,1.0992125868797302,0,
77,7,0,7,0,1,7,1073436,1.0258680582046509,1.11901752948761,0,
78,7,0,7,0,1,7,1073436,0.9459585547447205,1.0589897155761718,0,
79,7,0,7,0,0,7,1073436,1.0146007537841797,1.2638880014419558,0,
80,7,1,6,0,0,6,920088,0.9490008056163788,1.1690726280212402,0,
81,7,0,7,0,1,7,1073436,0.9637060761451721,1.1562116384506227,0,
82,7,0,7,0,2,7,1073436,0.9349983930587769,1.2046535015106203,0,
83,7,0,7,0,1,7,1073436,0.8417809009552002,1.146269202232361,0,
84,7,0,7,0,0,7,1073436,1.0753891468048096,1.3003296852111816,0,
85,7,1,6,0,0,6,920088,0.9775011539459229,1.1561523079872131,0,
86,7,1,6,0,1,6,920088,1.06627756357193,1.1896417737007141,0,
87,7,2,5,0,0,5,766740,1.0759130716323853,1.3031286954879762,0,
88,7,1,6,0,1,6,920088,0.9588938355445862,1.1367060542106628,0,
89,7,0,7,0,0,7,1073436,1.2167143821716309,1.278537344932556,0,
90,7,1,6,0,0,6,920088,0.9326939582824707,1.2549046874046326,0,
91,7,0,7,0,2,7,1073436,1.0472086668014526,1.2430866003036498,0,
92,7,0,7,0,0,7,1073436,0.8777457475662231,1.1791579484939576,0,
93,7,1,6,0,1,6,920088,1.0526771545410156,1.300295352935791,0,
94,7,0,7,0,0,7,1073436,0.9970656633377075,1.1995234727859496,0,
95,7,0,7,0,1,7,1073436,0.97328120470047,1.0440711736679078,0,
96,7,0,7,0,1,7,1073436,0.8804723620414734,1.1391138792037965,0,
97,7,0,7,0,0,7,1073436,0.9754845499992371,1.099647879600525,0,
98,7,0,7,0,0,7,1073436,1.0181300640106201,1.3090386629104616,0,
99,7,0,7,0,1,7,1073436,0.9982678294181824,1.1760626554489138,0,
100,7,2,5,0,1,5,766740,1.0117897987365723,1.2417791366577149,0,
101,7,0,7,0,0,7,1073436,1.193973422050476,1.3308233737945556,0,
102,7,1,6,0,0,6,920088,1.0534693002700806,1.2008670568466187,0,
103,7,2,5,0,0,5,766740,0.971238374710083,1.0924890995025636,0,
104,7,0,7,0,0,7,1073436,1.0395292043685913,1.2865142583847047,0,
105,7,1,6,0,1,6,920088,1.0459612011909485,1.247514009475708,0,
106,7,1,6,0,1,6,920088,1.1276888251304626,1.1863389015197754,0,
107,7,0,7,0,0,7,1073436,0.9974389672279358,1.0648653984069825,0,
108,7,0,7,0,0,7,1073436,0.9525871872901917,1.1093518495559693,0,
109,7,0,7,0,0,7,1073436,0.9902321100234985,1.2159348249435427,0,
110,7,0,7,0,0,7,1073436,0.9807254076004028,1.0632356643676757,0,
111,7,0,7,0,0,7,1073436,0.8737314343452454,0.9774496078491212,0,
112,7,4,3,0,0,3,460044,0.8129819631576538,0.9120807886123657,0,
113,7,2,5,0,2,5,766740,1.1317551136016846,1.3682581901550293,0,
114,7,1,6,0,1,6,920088,1.022156536579132,1.2319476008415222,0,
115,7,1,6,0,0,6,920088,1.0304177403450012,1.3057575821876526,0,
