round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,7,0,7,0,0,7,132244,3.8087286949157715,4.266154193878174,0,
2,7,0,7,0,0,7,134119,4.269866943359375,4.62657413482666,0,
3,7,0,7,0,0,7,133714,3.7143826484680176,4.122322082519531,0,
4,7,1,6,0,0,6,114832,3.187014102935791,3.3083925247192383,0,
5,7,0,7,0,0,7,133644,2.5036089420318604,2.63149356842041,0,
6,7,2,5,1,0,4,76908,1.2647368907928467,1.4833554029464722,0,
7,7,2,5,2,0,3,57696,1.0988956689834595,1.1992154121398926,0,
8,7,0,7,1,0,6,115452,1.1763238906860352,1.600946617126465,0,
9,7,1,6,0,0,6,115417,1.5608922243118286,1.9952998161315918,0,
10,7,0,7,1,0,6,115442,1.6154690980911255,1.8421189546585084,0,
11,7,0,7,1,0,6,115362,1.0431480407714844,1.599820351600647,0,
12,7,1,6,0,0,6,115332,1.0213988423347473,1.3101847767829895,0,
13,7,1,6,1,0,5,96165,0.9439966082572937,1.1414232850074768,0,
14,7,1,6,0,0,6,115327,0.9122854471206665,0.9830289781093597,0,
15,7,0,7,0,0,7,134384,0.8556743860244751,1.1709816217422486,0,
16,7,0,7,0,0,7,134529,0.94822096824646,1.0062581777572632,0,
17,7,0,7,0,0,7,134464,0.980736494064331,1.0527533531188964,0,
18,7,0,7,0,0,7,134519,1.0364207029342651,1.3680025100708009,0,
19,7,1,6,0,0,6,115392,1.2197958827018738,1.4068690538406372,0,
20,7,0,7,0,0,7,134199,1.2932292222976685,1.406794548034668,0,
21,7,1,6,0,0,6,115372,1.0259127616882324,1.2672734260559082,0,
22,7,0,7,0,0,7,134559,1.0049561262130737,1.1545807600021363,0,
23,7,1,6,0,0,6,115297,1.0574012994766235,1.2639527320861816,0,
24,7,0,7,0,0,7,134574,1.122044324874878,1.3220718145370485,0,
25,7,1,6,0,0,6,115307,0.9434854984283447,1.3282316327095032,0,
26,7,2,5,0,0,5,96090,1.2385118007659912,1.4769582748413086,0,
27,7,1,6,0,0,6,115252,1.0984137058258057,1.2271949648857117,0,
28,7,1,6,0,0,6,115387,1.3155404329299927,1.5956160426139832,0,
29,7,3,4,0,0,4,76958,1.4695814847946167,1.632612729072571,0,
30,7,0,7,0,0,7,134509,1.0425893068313599,1.4493796586990357,0,
31,7,0,7,0,0,7,134554,1.2359378337860107,1.4352342605590822,0,
