round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,7,0,7,0,0,7,132244,3.8087286949157715,4.266154193878174,0,
2,7,0,7,0,0,7,134119,4.269866943359375,4.62657413482666,0,
3,7,0,7,0,0,7,133714,3.7143826484680176,4.122322082519531,0,
4,7,1,6,0,1,6,114832,3.187014102935791,3.3083925247192383,0,
5,7,0,7,0,5,7,133629,2.504448652267456,2.6366838455200194,0,
6,7,2,5,0,2,5,96165,1.2358025312423706,1.5368988990783692,0,
7,7,2,5,0,3,5,96165,1.0658082962036133,1.1938182353973388,0,
8,7,0,7,0,1,7,134704,1.4729849100112915,1.826594638824463,0,
9,7,1,6,0,0,6,115422,1.4215591549873352,1.857621669769287,0,
10,7,0,7,0,2,7,134664,1.6013141870498657,1.9280983448028566,0,
11,7,0,7,0,0,7,134504,1.1171104907989502,1.6210110187530518,0,
12,7,1,6,0,0,6,115347,1.0016003549098969,1.2317083477973938,0,
13,7,1,6,0,0,6,115382,1.0627274215221405,1.2447711825370789,0,
14,7,1,6,0,0,6,115322,0.9408599734306335,1.1076296865940094,0,
15,7,0,7,0,1,7,134449,0.9097018241882324,1.125203251838684,0,
16,7,0,7,0,0,7,134494,0.9479126930236816,1.0355151653289796,0,
17,7,0,7,0,0,7,134449,0.8979607224464417,1.0510595321655274,0,
18,7,0,7,0,0,7,134504,1.1618919372558594,1.2955987215042115,0,
19,7,1,6,0,0,6,115392,1.177125871181488,1.4234527945518494,0,
20,7,0,7,0,0,7,134549,1.0513391494750977,1.5475059032440186,0,
21,7,1,6,0,2,6,115327,1.1815690994262695,1.344018280506134,0,
22,7,0,7,0,1,7,134564,1.1293909549713135,1.3171656847000124,0,
23,7,1,6,0,0,6,115282,1.0140040516853333,1.2840311527252197,0,
24,7,0,7,0,1,7,134594,1.1756459474563599,1.2976721286773683,0,
25,7,1,6,0,1,6,115292,0.8841151297092438,1.2475783228874207,0,
26,7,2,5,0,0,5,96125,1.0500541925430298,1.5652432203292848,0,
27,7,1,6,0,1,6,115307,1.1366376280784607,1.593763291835785,0,
28,7,1,6,0,0,6,115392,1.3646968007087708,1.7322644591331482,0,
29,7,3,4,0,1,4,76938,1.5124465227127075,1.5493560552597045,0,
30,7,0,7,0,0,7,134609,1.1023727655410767,1.4488205432891845,0,
31,7,0,7,0,0,7,134584,1.053610920906067,1.4057318687438964,0,
