round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,7,0,7,0,0,7,132244,3.8087286949157715,4.266154193878174,0,
2,7,0,7,0,0,7,134119,4.269866943359375,4.62657413482666,0,
3,7,0,7,0,0,7,133709,3.7197091579437256,4.126492023468018,0,
4,7,1,6,0,1,6,114802,3.2358065843582153,3.3400527238845825,0,
5,7,0,7,0,5,7,133669,2.576511859893799,2.6817572116851807,0,
6,7,2,5,1,2,4,76933,1.3279123306274414,1.6883179187774657,0,
7,7,2,5,0,3,5,96155,1.0212244987487793,1.1388978242874146,0,
8,7,0,7,1,1,6,115442,1.228071689605713,1.7844501972198488,0,
9,7,1,6,0,0,6,115422,1.6598336100578308,2.233727812767029,0,
10,7,0,7,0,2,7,134694,1.7044845819473267,2.0498942613601687,0,
11,7,0,7,1,0,6,115387,1.2386292219161987,1.783402919769287,0,
12,7,1,6,0,0,6,115362,1.0936384797096252,1.285804033279419,0,
13,7,1,6,0,0,6,115412,1.0493886768817902,1.2462100386619568,0,
14,7,1,6,0,1,6,115337,1.008584976196289,1.1567013263702393,0,
15,7,0,7,0,0,7,134484,1.0575106143951416,1.18264000415802,0,
16,7,0,7,0,0,7,134559,0.9297158122062683,1.0532622575759887,0,
17,7,0,7,0,0,7,134524,1.0262031555175781,1.0974872589111329,0,
18,7,0,7,0,0,7,134494,0.9825311899185181,1.119632315635681,0,
19,7,1,6,0,0,6,115347,0.8567140698432922,1.20458984375,0,
20,7,0,7,0,1,7,134504,0.8814336657524109,1.0317315340042115,0,
21,7,1,6,0,1,6,115222,0.837457001209259,0.9659785330295563,0,
22,7,0,7,0,0,7,134544,0.9230293035507202,0.9864008903503418,0,
23,7,1,6,0,1,6,115147,0.8535283505916595,0.9666184782981873,0,
24,7,0,7,0,0,7,134529,0.911088764667511,1.052500855922699,0,
25,7,1,6,0,1,6,115312,0.8735916912555695,1.0444568395614624,0,
26,7,2,5,0,1,5,96065,1.1359411478042603,1.2949991464614867,0,
27,7,1,6,0,1,6,115197,0.9519786536693573,0.9995291829109192,0,
28,7,1,6,0,1,6,115352,1.1444080471992493,1.399778664112091,0,
29,7,3,4,0,1,4,76948,1.322729468345642,1.5402400612831115,0,
30,7,0,7,0,0,7,134384,1.0061570405960083,1.4032657623291016,0,
31,7,0,7,0,0,7,134484,1.0320237874984741,1.2402901172637941,0,
32,7,0,7,0,1,7,134529,0.9721431136131287,1.1423166036605834,0,
