round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,7,2,5,0,0,5,94460,4.430779933929443,4.5718670845031735,0,
2,7,1,6,0,0,6,113577,4.37998104095459,4.675352334976196,0,
3,7,0,7,0,0,7,133784,3.986381769180298,4.217218589782715,0,
4,7,2,5,0,0,5,96065,3.4160544872283936,3.5528979301452637,0,
5,7,1,6,0,0,6,115372,2.634788393974304,2.7184107303619385,0,
6,7,0,7,6,1,1,19222,1.4359084367752075,1.6622804164886475,0,
7,7,1,6,6,0,0,0,1.1127002239227295,1.3130802512168884,0,
8,7,0,7,7,0,0,0,1.073946237564087,1.3192346572875977,0,
9,7,2,5,5,0,0,0,1.1025426387786865,1.2930859327316284,0,
10,7,0,7,5,0,2,38479,1.0840349197387695,1.2071052312850952,0,
11,7,1,6,2,0,4,76978,1.1870192885398865,1.2577336430549622,0,
12,7,1,6,0,0,6,115447,1.535369336605072,1.7224995493888855,0,
13,7,0,7,0,0,7,134719,1.2203463315963745,1.3908992052078248,0,
14,7,0,7,1,0,6,115447,1.1196563243865967,1.2181143045425415,0,
15,7,1,6,1,0,5,96200,1.1086742281913757,1.3675529956817627,0,
16,7,2,5,0,0,5,96230,1.1458228826522827,1.1772769927978515,0,
17,7,1,6,0,0,6,115392,1.1193491220474243,1.564984679222107,0,
18,7,0,7,0,0,7,134654,1.036879539489746,1.2312269926071167,0,
19,7,0,7,0,1,7,134724,0.9465263485908508,1.0975248336791992,0,
20,7,1,6,0,0,6,115492,0.8959291279315948,1.015812247991562,0,
21,7,0,7,1,0,6,115407,0.98676997423172,1.052397608757019,0,
22,7,1,6,0,0,6,115422,0.9541663229465485,1.040633738040924,0,
23,7,0,7,0,0,7,134614,0.9004298448562622,1.0705217838287353,1,0.88511489268857
24,7,1,6,0,2,6,115367,0.961322009563446,1.0422151982784271,0,
25,7,1,6,0,0,6,115367,0.8095695674419403,0.935038149356842,0,
26,7,1,6,0,3,6,115347,0.8871062099933624,0.9469307065010071,0,
27,7,1,6,0,0,6,115377,1.0153907537460327,1.1153813600540161,0,
28,7,1,6,0,0,6,115367,1.0289924144744873,1.2553770542144775,0,
29,7,0,7,0,1,7,134639,0.9426889419555664,1.1259581089019777,0,
30,7,2,5,0,0,5,96170,0.908643364906311,1.142685604095459,0,
31,7,0,7,0,1,7,134614,1.1216623783111572,1.210213565826416,0,
32,7,0,7,0,0,7,134589,1.1131538152694702,1.1721437215805053,0,
33,7,0,7,0,1,7,134699,0.9259473085403442,1.088229489326477,0,
34,7,0,7,0,0,7,134639,0.8753177523612976,0.9024358272552491,0,
35,7,1,6,0,0,6,115452,1.0057995915412903,1.0455837845802307,0,
36,7,0,7,0,0,7,134589,1.0860623121261597,1.2043792009353638,0,
