round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,7,2,5,0,0,5,766740,3.5654375553131104,3.7021318912506103,0,
2,7,1,6,0,0,6,920088,3.2249211072921753,3.4358129501342773,0,
3,7,0,7,0,0,7,1073436,2.780355215072632,2.8262580394744874,0,
4,7,2,5,0,0,5,766740,2.154528856277466,2.2401005268096923,0,
5,7,1,6,0,0,6,920088,0.7908729910850525,1.302157461643219,0,
6,7,0,7,0,0,7,1073436,1.4293144941329956,1.6800063133239749,0,
7,7,1,6,0,0,6,920088,1.5767164826393127,2.224569082260132,0,
8,7,0,7,0,0,7,1073436,1.7447197437286377,2.1764235496520996,0,
9,7,2,5,0,0,5,766740,1.8539910316467285,2.0380745410919188,0,
10,7,0,7,0,0,7,1073436,1.9406856298446655,2.1541981220245363,0,
11,7,1,6,0,0,6,920088,1.714455008506775,1.8752080798149109,0,
12,7,1,6,0,0,6,920088,1.5066639184951782,1.681690275669098,0,
13,7,0,7,0,0,7,1073436,1.1322237253189087,1.2830907344818114,0,
14,7,0,7,0,0,7,1073436,1.095962643623352,1.1909804344177246,0,
15,7,1,6,0,0,6,920088,0.9022277593612671,1.0342683494091034,0,
16,7,2,5,0,0,5,766740,0.8540903925895691,0.9456721425056458,0,
17,7,1,6,0,0,6,920088,0.8026193380355835,0.835663914680481,0,
18,7,0,7,0,0,7,1073436,0.702264130115509,0.8052366375923157,0,
19,7,0,7,0,0,7,1073436,0.697303831577301,0.7350739240646362,0,
20,7,1,6,0,0,6,920088,0.7616506814956665,0.7933340966701508,0,
21,7,0,7,0,0,7,1073436,0.6666339039802551,0.7955455541610718,0,
22,7,1,6,0,0,6,920088,0.6486110687255859,0.6836193799972534,0,
23,7,0,7,0,0,7,1073436,0.644792377948761,0.6907475113868713,0,
24,7,1,6,0,0,6,920088,0.7342480719089508,0.8704163134098053,0,
25,7,1,6,0,0,6,920088,0.6941531896591187,0.7757900357246399,0,
26,7,1,6,0,0,6,920088,0.6805829107761383,0.7508029043674469,0,
27,7,1,6,0,0,6,920088,0.6583753228187561,0.7646535933017731,0,
28,7,1,6,0,0,6,920088,0.6260309219360352,0.7068649232387543,0,
29,7,0,7,0,0,7,1073436,0.7320600748062134,0.8588217616081238,0,
30,7,2,5,0,0,5,766740,0.7489245533943176,0.8324630737304688,0,
31,7,0,7,0,0,7,1073436,0.6197196245193481,0.7589293837547303,0,
32,7,0,7,0,0,7,1073436,0.7109001278877258,0.7897545099258423,0,
33,7,0,7,0,0,7,1073436,0.6720535755157471,0.7847561836242676,0,
34,7,0,7,0,0,7,1073436,0.7294573783874512,0.815255856513977,0,
35,7,1,6,0,0,6,920088,0.6572789549827576,0.7466815710067749,0,
36,7,0,7,0,0,7,1073436,0.7082242369651794,0.8238378047943116,0,
37,7,0,7,0,0,7,1073436,0.6781908869743347,0.7564620018005371,0,
38,7,0,7,0,0,7,1073436,0.6788996458053589,0.8937117576599121,0,
39,7,1,6,0,0,6,920088,0.6497911214828491,0.7378368973731995,0,
40,7,0,7,0,0,7,1073436,0.6951004266738892,0.922958779335022,0,
41,7,0,7,0,0,7,1073436,0.6626409888267517,0.7975002050399781,0,
42,7,1,6,0,0,6,920088,0.6985763311386108,0.7394812405109406,0,
43,7,0,7,0,0,7,1073436,0.6968953609466553,0.8390060186386109,0,
44,7,1,6,0,0,6,920088,0.684357613325119,0.7560617923736572,0,
45,7,0,7,0,0,7,1073436,0.7060735821723938,0.8328459024429321,0,
46,7,0,7,0,0,7,1073436,0.6795048713684082,0.8356667041778565,0,
