round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,3,1,2,0,0,2,306696,7.502358913421631,8.16154432296753,0,
2,3,0,3,0,0,3,460044,3.518723249435425,3.5770263195037844,0,
3,3,0,3,0,0,3,460044,1.1670588254928589,3.586844611167908,0,
4,3,1,2,0,0,2,306696,1.8598722219467163,2.6580767393112184,0,
5,3,0,3,0,0,3,460044,4.68189811706543,4.843537902832031,0,
6,3,1,2,0,0,2,306696,2.489802122116089,2.726815366744995,0,
7,3,0,3,0,0,3,460044,1.1451820135116577,1.2434800863265991,0,
8,3,0,3,0,0,3,460044,1.3272210359573364,1.4665220499038696,0,
9,3,0,3,0,0,3,460044,1.0453442335128784,1.369737410545349,0,
10,3,0,3,0,0,3,460044,1.0576039552688599,1.1904794931411744,0,
11,3,0,3,0,0,3,460044,1.0773284435272217,1.4007331371307372,0,
12,3,0,3,0,0,3,460044,1.2277976274490356,1.307327103614807,0,
13,3,0,3,0,0,3,460044,0.8047994375228882,0.9751259565353394,0,
14,3,2,1,0,0,1,153348,1.1157326698303223,1.1157326698303223,0,
15,3,0,3,0,0,3,460044,1.5827776193618774,1.6789777040481568,0,
16,3,0,3,0,0,3,460044,0.8877724409103394,1.1196770429611207,0,
17,3,0,3,0,0,3,460044,1.2350335121154785,1.4503830909729003,0,
18,3,0,3,0,0,3,460044,1.2187615633010864,1.3087302446365356,0,
19,3,1,2,0,0,2,306696,1.5033349990844727,1.56231746673584,0,
20,3,0,3,0,0,3,460044,1.4937918186187744,2.4006189823150637,0,
21,3,1,2,0,0,2,306696,1.948524296283722,2.0813485741615296,0,
22,3,0,3,0,0,3,460044,1.009738564491272,1.2844510316848754,0,
23,3,0,3,0,0,3,460044,1.2264301776885986,1.362239408493042,0,
24,3,0,3,0,0,3,460044,1.2068305015563965,1.2755967140197755,0,
25,3,1,2,0,0,2,306696,1.6680197715759277,1.9633557319641113,0,
26,3,0,3,0,0,3,460044,2.0002171993255615,2.1790427684783937,0,
27,3,0,3,0,0,3,460044,1.512832760810852,1.7412219285964965,0,
28,3,0,3,0,0,3,460044,1.457499384880066,1.6437516927719116,0,
29,3,0,3,0,0,3,460044,1.287986397743225,1.3774688005447389,0,
30,3,0,3,0,0,3,460044,1.186171293258667,1.3775309085845948,0,
31,3,0,3,0,0,3,460044,1.214467167854309,1.2662221193313599,0,
32,3,0,3,0,0,3,460044,1.4240869283676147,1.5270779371261596,0,
33,3,0,3,0,0,3,460044,1.1287866830825806,1.2382652521133424,0,
34,3,1,2,0,0,2,306696,1.2904311418533325,1.2904408693313598,0,
35,3,0,3,0,0,3,460044,1.2440587282180786,1.7051486253738404,0,
36,3,0,3,0,0,3,460044,1.0650144815444946,1.1488212823867798,0,
37,3,1,2,0,0,2,306696,2.232364535331726,2.2636913061141968,0,
