round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,3,1,2,0,0,2,306696,6.148636817932129,6.1553644180297855,0,
2,3,0,3,0,0,3,460044,3.4683871269226074,3.491995334625244,0,
3,3,0,3,0,0,3,460044,1.9854626655578613,2.06079683303833,0,
4,3,0,3,0,0,3,460044,0.8880402445793152,1.1371218085289,0,
5,3,0,3,0,0,3,460044,0.9322218894958496,1.4145966529846192,0,
6,3,0,3,0,0,3,460044,1.2132680416107178,1.3393510341644288,0,
7,3,0,3,0,0,3,460044,1.2800174951553345,1.332501721382141,0,
8,3,0,3,0,0,3,460044,1.193436622619629,1.2598709106445312,0,
9,3,0,3,0,0,3,460044,1.1586745977401733,1.4698163747787476,0,
10,3,0,3,0,0,3,460044,1.4113589525222778,1.4783786058425903,0,
11,3,0,3,0,0,3,460044,0.9893746376037598,1.373715877532959,0,
12,3,0,3,0,0,3,460044,1.1072380542755127,1.318020486831665,0,
13,3,1,2,0,0,2,306696,1.3007569909095764,1.3664844632148743,0,
14,3,1,2,0,0,2,306696,0.923017144203186,0.9730798482894898,0,
15,3,1,2,0,0,2,306696,0.8572648763656616,1.128435778617859,0,
16,3,0,3,0,0,3,460044,0.7140924334526062,0.958705461025238,0,
17,3,0,3,0,0,3,460044,0.7600958943367004,1.0351672768592834,0,
18,3,0,3,0,0,3,460044,0.5878966450691223,0.8451400876045227,0,
19,3,0,3,0,0,3,460044,0.7032603025436401,0.8205257654190063,0,
20,3,0,3,0,0,3,460044,0.6808633804321289,0.7050411224365234,0,
21,3,0,3,0,0,3,460044,0.8179430365562439,1.0400794863700866,0,
22,3,0,3,0,0,3,460044,0.6584392786026001,0.8939885377883912,0,
23,3,0,3,0,0,3,460044,1.0447795391082764,1.1057992458343506,0,
24,3,0,3,0,0,3,460044,0.7508960962295532,0.8054157018661499,0,
25,3,1,2,0,0,2,306696,0.7682889699935913,0.9155246019363403,0,
26,3,0,3,0,0,3,460044,0.9749190807342529,1.031626081466675,0,
27,3,0,3,0,0,3,460044,0.7237867116928101,0.8790051698684692,0,
28,3,0,3,0,0,3,460044,0.7123715281486511,0.923783814907074,0,
29,3,0,3,0,0,3,460044,0.6669734120368958,0.8127598881721496,0,
30,3,0,3,0,0,3,460044,0.742832601070404,0.865865170955658,0,
31,3,0,3,0,0,3,460044,0.6487252116203308,0.6928041815757752,0,
32,3,1,2,0,0,2,306696,0.7537356019020081,0.8823519349098206,0,
33,3,1,2,0,0,2,306696,0.6579524278640747,0.6830226659774781,0,
34,3,0,3,0,0,3,460044,0.5456453561782837,0.7074002981185913,0,
35,3,0,3,0,0,3,460044,0.5644146800041199,0.8963595271110535,0,
36,3,0,3,0,0,3,460044,0.6140028834342957,0.6961924433708191,0,
37,3,0,3,0,0,3,460044,0.779124915599823,0.7820541739463807,0,
38,3,0,3,0,0,3,460044,0.7607094645500183,0.8567930579185485,0,
39,3,0,3,0,0,3,460044,0.8887625932693481,0.99537193775177,0,
40,3,0,3,0,0,3,460044,0.8357607126235962,0.8716104745864868,0,
41,3,0,3,0,0,3,460044,0.7011986374855042,0.855577576160431,0,
42,3,0,3,0,0,3,460044,0.6321252584457397,0.7430070638656616,0,
43,3,0,3,0,0,3,460044,0.5843304395675659,0.6777071237564087,0,
44,3,0,3,0,0,3,460044,0.6035138368606567,0.7492831945419312,0,
45,3,0,3,0,0,3,460044,0.6935620307922363,0.9305475234985352,0,
46,3,0,3,0,0,3,460044,1.0501235723495483,1.1408385992050172,0,
47,3,0,3,0,0,3,460044,0.9430816173553467,0.9665374279022216,0,
48,3,0,3,0,0,3,460044,0.9382660388946533,0.9582975387573243,0,
49,3,0,3,0,0,3,460044,0.8182231187820435,0.9878910303115844,0,
50,3,0,3,0,0,3,460044,0.7435894012451172,0.8297770977020263,0,
51,3,0,3,0,0,3,460044,0.7612296342849731,1.0732542276382446,0,
52,3,1,2,0,0,2,306696,0.6972703337669373,0.7000672221183777,0,
53,3,0,3,0,0,3,460044,0.8425214886665344,1.0205729126930236,0,
54,3,0,3,0,0,3,460044,0.8463071584701538,0.976897120475769,0,
55,3,0,3,0,0,3,460044,0.7339357733726501,0.89617999792099,0,
56,3,1,2,0,0,2,306696,1.2365319728851318,1.356705617904663,0,
