round,n_sampled,n_straggle,n_trained,n_skip,n_drift,uploads,bytes,median_delta_norm,p90_delta_norm,n_clipped,mean_clip_scale
1,7,0,7,0,0,7,1073436,3.354714870452881,3.4629265785217287,0,
2,7,0,7,0,0,7,1073436,3.352216958999634,3.4800933837890624,0,
3,7,0,7,0,0,7,1073436,2.5444250106811523,2.6100171566009522,0,
4,7,1,6,0,0,6,920088,2.0207971334457397,2.1011619567871094,0,
5,7,0,7,0,0,7,1073436,1.2348103523254395,1.3599032402038576,0,
6,7,2,5,0,0,5,766740,0.4996386766433716,1.4551777601242066,0,
7,7,2,5,0,0,5,766740,0.6589446067810059,0.7151488780975341,0,
8,7,0,7,0,0,7,1073436,0.4391912519931793,1.227654850482941,0,
9,7,1,6,0,0,6,920088,0.6172435581684113,1.4232028722763062,0,
10,7,0,7,0,0,7,1073436,0.8271628618240356,1.531999707221985,0,
11,7,0,7,0,0,7,1073436,0.6889789700508118,1.449744749069214,0,
12,7,1,6,0,0,6,920088,0.7339802384376526,0.8945298194885254,0,
13,7,1,6,0,0,6,920088,1.0475011467933655,1.1098573207855225,0,
14,7,1,6,0,0,6,920088,0.5908872187137604,1.0945455729961395,0,
15,7,0,7,0,0,7,1073436,0.7052087783813477,1.127238392829895,0,
16,7,0,7,0,0,7,1073436,0.7892284989356995,1.281533408164978,0,
17,7,0,7,0,0,7,1073436,0.7788135409355164,1.2581669092178345,0,
18,7,0,7,0,0,7,1073436,0.7665069699287415,1.278124451637268,0,
19,7,1,6,0,0,6,920088,1.4388447403907776,1.576385736465454,0,
20,7,0,7,0,0,7,1073436,0.9467637538909912,1.5528814792633057,0,
21,7,1,6,0,0,6,920088,1.1032423377037048,1.3191065788269043,0,
22,7,0,7,0,0,7,1073436,1.2779227495193481,1.5558808326721192,0,
23,7,1,6,0,0,6,920088,0.8514294028282166,1.382261872291565,0,
24,7,0,7,0,0,7,1073436,1.1082814931869507,1.2123242139816284,0,
25,7,1,6,0,0,6,920088,0.8225172758102417,0.9516271948814392,0,
26,7,2,5,0,0,5,766740,1.0159789323806763,1.149628472328186,0,
27,7,1,6,0,0,6,920088,0.7716000974178314,0.8778768181800842,0,
28,7,1,6,0,0,6,920088,0.9482840299606323,1.1165188550949097,0,
29,7,3,4,0,0,4,613392,0.7931946516036987,0.8649754643440246,0,
30,7,0,7,0,0,7,1073436,0.7526906132698059,0.8816606998443605,0,
31,7,0,7,0,0,7,1073436,0.7508351802825928,0.8908668279647828,0,
32,7,0,7,0,0,7,1073436,0.7918633222579956,0.8552236318588258,0,
33,7,1,6,0,0,6,920088,0.7693191170692444,0.8054468929767609,0,
34,7,1,6,0,0,6,920088,0.748743861913681,0.9085280299186707,0,
35,7,0,7,0,0,7,1073436,0.6556947231292725,0.7265804767608642,0,
36,7,1,6,0,0,6,920088,0.7468504309654236,0.9134712815284729,0,
37,7,0,7,0,0,7,1073436,0.7082411050796509,0.8632478356361389,0,
38,7,3,4,0,0,4,613392,0.7071684896945953,0.792921531200409,0,
39,7,1,6,0,0,6,920088,0.7728140652179718,0.8781184256076813,0,
40,7,0,7,0,0,7,1073436,0.8159735202789307,0.8614269614219665,0,
41,7,0,7,0,0,7,1073436,0.6960374712944031,0.8113821744918823,0,
42,7,0,7,0,0,7,1073436,0.7084536552429199,0.8906303405761719,0,
43,7,0,7,0,0,7,1073436,0.790871798992157,0.8707427978515625,0,
44,7,2,5,0,0,5,766740,0.6479290723800659,0.7477351069450379,0,
45,7,1,6,0,0,6,920088,0.7789839506149292,0.8950023353099823,0,
46,7,2,5,0,0,5,766740,0.7229276299476624,0.8012355208396912,0,
47,7,1,6,0,0,6,920088,0.8750051856040955,0.9213648438453674,0,
48,7,0,7,0,0,7,1073436,0.7926067113876343,0.8868433713912964,0,
49,7,0,7,0,0,7,1073436,0.8426259756088257,0.9790417551994324,0,
50,7,0,7,0,0,7,1073436,0.7676222920417786,0.858193552494049,0,
51,7,2,5,0,0,5,766740,0.8103907704353333,0.8598479866981507,0,
52,7,0,7,0,0,7,1073436,0.7843638062477112,0.8775060653686524,0,
53,7,1,6,0,0,6,920088,0.8481298983097076,0.979715883731842,0,
54,7,1,6,0,0,6,920088,0.8101113438606262,0.9037620425224304,0,
55,7,1,6,0,0,6,920088,1.0056672394275665,1.0850789546966553,0,
56,7,1,6,0,0,6,920088,0.7737992107868195,0.955480545759201,0,
57,7,0,7,0,0,7,1073436,0.8460005521774292,1.0048556685447694,0,
58,7,0,7,0,0,7,1073436,0.8617779612541199,0.893624496459961,0,
59,7,1,6,0,0,6,920088,0.8196862637996674,0.9441989362239838,0,
60,7,1,6,0,0,6,920088,0.8533605337142944,0.9389759302139282,0,
61,7,1,6,0,0,6,920088,0.8750087916851044,0.9341640174388885,0,
62,7,1,6,0,0,6,920088,0.8689660429954529,0.951906830072403,0,
63,7,0,7,0,0,7,1073436,0.848598062992096,0.9662984013557434,0,
64,7,1,6,0,0,6,920088,0.9506033062934875,0.9972006380558014,0,
65,7,1,6,0,0,6,920088,0.8413883447647095,1.0024825036525726,0,
66,7,0,7,0,0,7,1073436,0.7171682715415955,0.9839162349700928,0,
67,7,0,7,0,0,7,1073436,0.8289216160774231,1.0156523942947389,0,
68,7,1,6,0,0,6,920088,0.9795947372913361,1.0570499897003174,0,
69,7,0,7,0,0,7,1073436,0.8059728145599365,1.0297054409980775,0,
70,7,1,6,0,0,6,920088,0.8644586205482483,0.9500869810581207,0,
71,7,1,6,0,0,6,920088,0.8557476699352264,0.9628160297870636,0,
72,7,1,6,0,0,6,920088,0.8556173145771027,0.9638745188713074,0,
73,7,1,6,0,0,6,920088,0.7352273762226105,0.9621271193027496,0,
74,7,0,7,0,0,7,1073436,0.885541558265686,0.9633468627929688,0,
75,7,1,6,0,0,6,920088,0.7108885049819946,0.8683084845542908,0,
76,7,1,6,0,0,6,920088,0.8828388452529907,1.0661187767982483,0,
77,7,0,7,0,0,7,1073436,0.8881797790527344,0.9810951232910157,0,
78,7,0,7,0,0,7,1073436,0.7774516344070435,0.929142701625824,0,
79,7,1,6,0,0,6,920088,0.8519564568996429,1.0973325371742249,0,
80,7,1,6,0,0,6,920088,0.9574163556098938,1.0736496448516846,0,
81,7,0,7,0,0,7,1073436,0.8291359543800354,1.0048087120056153,0,
82,7,0,7,0,0,7,1073436,0.8274255394935608,1.0223712205886841,0,
83,7,2,5,0,0,5,766740,0.8453787565231323,0.95948166847229,0,
84,7,0,7,0,0,7,1073436,0.9320933818817139,1.0473644018173218,0,
85,7,1,6,0,0,6,920088,0.8444809913635254,0.9350267350673676,0,
86,7,3,4,0,0,4,613392,0.8116985261440277,0.9269525527954102,0,
87,7,1,6,0,0,6,920088,0.8526816070079803,1.001160979270935,0,
88,7,0,7,0,0,7,1073436,0.8856148719787598,1.2068294525146486,0,
89,7,1,6,0,0,6,920088,0.7899129688739777,0.9203589558601379,0,
90,7,1,6,0,0,6,920088,0.7529056370258331,1.0674515068531036,0,
91,7,0,7,0,0,7,1073436,0.7861315608024597,0.9520607948303224,0,
92,7,1,6,0,0,6,920088,0.8654105365276337,1.1545527577400208,0,
93,7,1,6,0,0,6,920088,0.8669938147068024,1.0165663063526154,0,
94,7,1,6,0,0,6,920088,0.7914156019687653,0.9709315598011017,0,
95,7,2,5,0,0,5,766740,0.7871293425559998,1.0208542108535767,0,
96,7,1,6,0,0,6,920088,0.9002443253993988,1.0429587364196777,0,
97,7,0,7,0,0,7,1073436,0.73076331615448,0.9039638996124267,0,
98,7,2,5,0,0,5,766740,0.8386033773422241,1.1969080448150635,0,
99,7,1,6,0,0,6,920088,0.9311833083629608,0.9974696636199951,0,
100,7,1,6,0,0,6,920088,0.7879138588905334,0.9476445913314819,0,
101,7,1,6,0,0,6,920088,0.7538162171840668,1.049969106912613,0,
102,7,0,7,0,0,7,1073436,0.7854031324386597,1.2830036401748657,0,
103,7,1,6,0,0,6,920088,0.8533817529678345,0.9802087545394897,0,
104,7,0,7,0,0,7,1073436,0.8977804183959961,1.0099613904953002,0,
105,7,1,6,0,0,6,920088,0.7573200166225433,1.2046748995780945,0,
106,7,1,6,0,0,6,920088,0.8477620780467987,0.9165566265583038,0,
107,7,2,5,0,0,5,766740,0.9240762591362,1.0526829481124877,0,
108,7,1,6,0,0,6,920088,0.8416818976402283,0.9238322675228119,0,
109,7,0,7,0,0,7,1073436,0.8000646829605103,0.9397196531295777,0,
110,7,0,7,0,0,7,1073436,0.7972336411476135,0.9767448425292969,0,
111,7,2,5,0,0,5,766740,0.8062378764152527,0.9640432715415954,0,
112,7,2,5,0,0,5,766740,0.9142832159996033,0.9765480756759644,0,
113,7,1,6,0,0,6,920088,0.8431029319763184,0.8806795179843903,0,
114,7,0,7,0,0,7,1073436,0.7882522940635681,0.8450336456298828,0,
115,7,0,7,0,0,7,1073436,0.7340347170829773,0.9254059195518494,0,
